"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SPONSORSHIPORIGINATOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001537","PUBLISHED","2016","AFR","MRT","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","NGA","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","SEN","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ZAF","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ZAF","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","TGO","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","ZMB","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","ATG","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","BRB","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","BRB","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","BRA","SA_FROM_WINE_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","COL","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","ECU","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","GTM","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","HND","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","PRY","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","LCA","SA_FROM_WINE_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","TTO","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AMR","TTO","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","DJI","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","IRN","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ALB","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","AUT","SA_FROM_BEER_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","BGR","SA_FROM_SPIRITS_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","CZE","SA_FROM_WINE_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","FIN","SA_FROM_BEER_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","FIN","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","DEU","SA_FROM_WINE_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ISL","SA_FROM_BEER_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","ISR","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","LUX","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","MNE","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","MDA","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","SMR","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","SVN","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","VUT","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","NZL","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","JPN","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","CHN","SA_FROM_WINE_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","AUS","SA_FROM_SPIRITS_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","AUS","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","LKA","SA_FROM_WINE_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","MMR","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","IND","SA_FROM_WINE_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","BGD","SA_FROM_SPIRITS_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","SEAR","BGD","SA_FROM_BEER_INDUSTRY","ban","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","UKR","SA_FROM_WINE_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","WPR","KIR","","no restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","CAF","SA_FROM_WINE_INDUSTRY","voluntary/self-restricted","","","",""
"SA_0000001537","PUBLISHED","2016","EMR","MAR","SA_FROM_WINE_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","EUR","MKD","SA_FROM_SPIRITS_INDUSTRY","partial restriction","","","",""
"SA_0000001537","PUBLISHED","2016","AFR","AGO","SA_FROM_BEER_INDUSTRY","no restriction","","","",""
