"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","Display Value","Numeric","Low","High","Comments"
"RSUD_790","PUBLISHED","2014","AFR","COM","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COM","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COM","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CRI","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CUB","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CUB","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CUB","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","CYP","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","CZE","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","CZE","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","CZE","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","CZE","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","DEU","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","DEU","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","DEU","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","DEU","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","DJI","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","DJI","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","DJI","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","DNK","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","DNK","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","DNK","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","DOM","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","DZA","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","DZA","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","DZA","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","ECU","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","ECU","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","ECU","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","ECU","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","EGY","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ESP","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ESP","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ESP","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ESP","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","EST","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","EST","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","EST","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","EST","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","ETH","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","ETH","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","ETH","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","ETH","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","FIN","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","FJI","BACHELOR","Yes","","","",""
