"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001539","PUBLISHED","2016","AFR","SYC","SA_SPIRITS","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BHS","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SLE","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SLE","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SWZ","SA_BEER","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","TGO","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BRA","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","HND","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","JAM","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","DOM","SA_SPIRITS","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","LCA","SA_WINE","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GRD","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GTM","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GTM","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","ARM","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","AND","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","LBN","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","AND","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","AZE","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","BIH","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","KHM","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","CHN","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","EGY","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","FIN","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","SEAR","IDN","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","LBR","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","SEAR","MDV","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","NIC","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","PRT","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","SMR","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","SGP","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","SEAR","LKA","","ban","","","",""
