"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vfull","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200602","","58.0 [46.4-68.8]","58.00000","46.00000","69.00000","Attention - Estimate is based on 25-49 cases."
"vfull","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200604","","63.2 [49.0-75.4]","63.00000","49.00000","75.00000",""
"vfull","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","","AZEDHS200605","","46.6 [30.4-63.6]","47.00000","30.00000","64.00000",""
"vfull","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","BGDDHS199603","","49.6 [42.1-57.2]","50.00000","42.00000","57.00000",""
"vfull","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","BGDDHS199604","","68.3 [59.3-76.1]","68.00000","59.00000","76.00000",""
"vfull","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","BGDDHS199605","","58.0 [51.4-64.3]","58.00000","51.00000","64.00000",""
"vfull","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","","BGDDHS199606","","41.5 [32.1-51.5]","41.00000","32.00000","52.00000",""
"vfull","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200601","","83.7 [79.7-87.0]","84.00000","80.00000","87.00000",""
"vfull","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200602","","84.4 [81.4-87.1]","84.00000","81.00000","87.00000",""
"vfull","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200603","","82.2 [79.2-84.8]","82.00000","79.00000","85.00000",""
"vfull","EQ_MICS","PUBLISHED","2006","SEAR","BGD","","","","","BGDMICS200604","","90.8 [88.3-92.8]","91.00000","88.00000","93.00000",""
"vfull","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","","BGDDHS200705","","85.6 [75.8-91.8]","86.00000","76.00000","92.00000",""
"vfull","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","","","BGDDHS200706","","70.8 [59.6-80.0]","71.00000","60.00000","80.00000",""
"vfull","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201206","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2012","SEAR","BGD","","","","","BGDMICS201207","","No data","","","","Not available."
"vfull","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201402","","83.3 [75.5-89.0]","83.00000","76.00000","89.00000",""
"vfull","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201403","","87.4 [81.8-91.4]","87.00000","82.00000","91.00000",""
"vfull","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201404","","85.5 [79.6-89.9]","85.00000","80.00000","90.00000",""
"vfull","EQ_DHS","PUBLISHED","2014","SEAR","BGD","","","","","BGDDHS201405","","83.6 [76.2-89.1]","84.00000","76.00000","89.00000",""
"vfull","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200502","","96.1 [88.5-98.7]","96.00000","88.00000","99.00000",""
"vfull","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200503","","96.9 [91.2-99.0]","97.00000","91.00000","99.00000",""
"vfull","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","","","BLRMICS200504","","100.0 [100.0-100.0]","100.00000","100.00000","100.00000",""
"vfull","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","","","BLRMICS201201","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200601","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"vfull","EQ_MICS","PUBLISHED","2006","AMR","BLZ","","","","","BLZMICS200602","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"vfull","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201102","","73.6 [62.8-82.2]","74.00000","63.00000","82.00000",""
"vfull","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201103","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"vfull","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","","","BLZMICS201104","","60.8 [49.6-71.1]","61.00000","50.00000","71.00000",""
"vfull","EQ_MICS","PUBLISHED","2015","AMR","BLZ","","","","","BLZMICS201501","","65.7 [48.7-79.5]","66.00000","49.00000","79.00000",""
"vfull","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200102","","60.0 [50.5-68.8]","60.00000","50.00000","69.00000",""
"vfull","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200103","","50.0 [42.7-57.3]","50.00000","43.00000","57.00000",""
"vfull","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200104","","53.0 [42.4-63.3]","53.00000","42.00000","63.00000",""
"vfull","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200105","","68.0 [56.6-77.5]","68.00000","57.00000","78.00000",""
"vfull","EQ_DHS","PUBLISHED","2001","AFR","BEN","","","","","BENDHS200106","","68.4 [61.0-75.1]","68.00000","61.00000","75.00000",""
"vfull","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200608","","64.2 [56.5-71.3]","64.00000","56.00000","71.00000",""
"vfull","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200609","","60.2 [50.0-69.5]","60.00000","50.00000","70.00000",""
"vfull","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200610","","47.9 [42.3-53.7]","48.00000","42.00000","54.00000",""
"vfull","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","","","BENDHS200611","","26.5 [18.4-36.7]","27.00000","18.00000","37.00000",""
"vfull","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201101","","26.9 [19.7-35.6]","27.00000","20.00000","36.00000",""
"vfull","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201102","","59.8 [51.0-68.1]","60.00000","51.00000","68.00000",""
"vfull","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201103","","35.6 [29.6-42.0]","36.00000","30.00000","42.00000",""
"vfull","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","","","BENDHS201104","","46.6 [37.7-55.7]","47.00000","38.00000","56.00000",""
"vfull","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201410","","64.6 [56.0-72.4]","65.00000","56.00000","72.00000",""
"vfull","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201411","","46.1 [39.1-53.3]","46.00000","39.00000","53.00000",""
"vfull","EQ_MICS","PUBLISHED","2014","AFR","BEN","","","","","BENMICS201412","","64.9 [53.4-74.9]","65.00000","53.00000","75.00000",""
"vfull","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201703","","59.9 [51.5-67.7]","60.00000","52.00000","68.00000",""
"vfull","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201705","","68.2 [58.3-76.7]","68.00000","58.00000","77.00000",""
"vfull","EQ_DHS","PUBLISHED","2017","AFR","BEN","","","","","BENDHS201706","","40.1 [32.7-48.0]","40.00000","33.00000","48.00000",""
"vfull","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201009","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201010","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201011","","No data","","","","Not available."
"vfull","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","","","","BTNMICS201012","","No data","","","","Not available."
"vfull","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","","","BOLDHS199401","","34.4 [29.5-39.6]","34.00000","30.00000","40.00000",""
"vfull","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","","","BOLDHS199402","","45.1 [38.6-51.7]","45.00000","39.00000","52.00000",""
"vfull","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","","","BOLDHS199403","","32.0 [25.5-39.2]","32.00000","26.00000","39.00000",""
"vfull","EQ_DHS","PUBLISHED","1998","AMR","BOL","","","","","BOLDHS199804","","20.8 [13.8-30.2]","21.00000","14.00000","30.00000",""
