"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vdpt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201203","","92.7 [89.2-95.1]","93.00000","89.00000","95.00000",""
"vdpt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201204","","75.6 [70.4-80.2]","76.00000","70.00000","80.00000",""
"vdpt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201205","","95.0 [91.7-97.0]","95.00000","92.00000","97.00000",""
"vdpt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201206","","87.0 [82.7-90.4]","87.00000","83.00000","90.00000",""
"vdpt","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","","DZAMICS201207","","81.6 [75.9-86.2]","82.00000","76.00000","86.00000",""
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199602","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199603","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199604","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199605","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199606","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199607","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199608","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199609","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199610","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199611","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199612","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199613","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199614","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199615","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199616","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199617","","No data","","","","Not available."
"vdpt","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","","AGOMICS199618","","No data","","","","Not available."
"vdpt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201501","","60.9 [48.2-72.4]","61.00000","48.00000","72.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201502","","56.2 [43.6-68.0]","56.00000","44.00000","68.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201503","","27.5 [18.1-39.5]","28.00000","18.00000","39.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201504","","55.9 [48.0-63.6]","56.00000","48.00000","64.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201505","","34.5 [28.0-41.6]","35.00000","28.00000","42.00000",""
"vdpt","EQ_DHS","PUBLISHED","2015","AFR","AGO","","","","","AGODHS201506","","29.9 [20.2-41.8]","30.00000","20.00000","42.00000",""
