"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694","PUBLISHED","2016","AFR","GHA","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","GHA","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MWI","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MWI","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","NER","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","DZA","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","AGO","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BEN","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BEN","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BWA","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","NER","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BWA","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CAF","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CAF","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CIV","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","CHL","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","SYC","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","ZAF","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","ARG","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","ARG","LAW_ENFORCEMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BHS","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BRA","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","CHL","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AZE","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","EST","FINANCE_TAXATION","Yes","","","",""
