"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BEVERAGETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_500_POPULAR_BEER","0.62","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_500_POPULAR_BEER","0.74","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","COK","SA_500_POPULAR_BEER","2.84","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_750_POPULAR_IMPORTED_SPIRITS","23.75","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_750_TABLE_WINE","2.54","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_750_POPULAR_IMPORTED_SPIRITS","24.55","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ETH","SA_750_TABLE_WINE","1.97","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_500_POPULAR_BEER","0.85","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_750_POPULAR_LOCAL_SPIRITS","3.36","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","HUN","SA_500_POPULAR_BEER","0.75","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_500_POPULAR_BEER","0.62","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_750_POPULAR_LOCAL_SPIRITS","5.41","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","JAM","SA_500_POPULAR_BEER","2.06","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","JAM","SA_750_POPULAR_LOCAL_SPIRITS","15.82","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","LVA","SA_750_POPULAR_LOCAL_SPIRITS","10.56","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","LSO","SA_750_POPULAR_IMPORTED_SPIRITS","3.67","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_750_POPULAR_LOCAL_SPIRITS","11.67","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_500_POPULAR_BEER","2.52","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_750_POPULAR_LOCAL_SPIRITS","9.44","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","MNG","SA_750_POPULAR_IMPORTED_SPIRITS","40.65","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_750_TABLE_WINE","3.59","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","NIC","SA_500_POPULAR_BEER","1.21","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_750_POPULAR_LOCAL_SPIRITS","2.88","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","NGA","SA_750_TABLE_WINE","3.06","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","PLW","SA_750_POPULAR_LOCAL_SPIRITS","1.99","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_500_POPULAR_BEER","2.68","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_750_POPULAR_LOCAL_SPIRITS","0.87","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ROU","SA_750_POPULAR_IMPORTED_SPIRITS","23.33","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","RUS","SA_750_TABLE_WINE","11.06","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_500_POPULAR_BEER","2.36","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_750_POPULAR_IMPORTED_SPIRITS","7.28","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","SEN","SA_750_TABLE_WINE","2.16","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","SRB","SA_750_POPULAR_LOCAL_SPIRITS","0.67","","","",""
