"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGPRESCRIPTION","Display Value","Numeric","Low","High","Comments"
"RSUD_65","PUBLISHED","2008","AFR","SEN","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","SVN","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","SVN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","SVN","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","AFR","ZAF","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","AFR","ZAF","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","AFR","ZAF","ANY_DOCTOR","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","SWE","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","SWE","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","SWE","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","CHE","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","CHE","ANY_DOCTOR","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","CHE","NON_DOCTORS","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","UKR","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_65","PUBLISHED","2008","EUR","UKR","ANY_DOCTOR","no","","","",""
"RSUD_65","PUBLISHED","2008","EUR","UKR","NON_DOCTORS","no","","","",""
