"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","BLR","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","BWA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","BWA","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","BRA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","BRA","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","WPR","KHM","ROAD_SAFETY","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","CHL","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","COL","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","COG","EMPLOYMENT","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","CIV","JUSTICE","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","HRV","AGRICULTURE","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","CUB","EDUCATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","CZE","SOCIAL","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","CZE","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","COD","TRADE_INDUSTRY","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EMR","EGY","FINANCE_TAXATION","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","FIN","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","FIN","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","FRA","ROAD_SAFETY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","DEU","ROAD_SAFETY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","GRC","EMPLOYMENT","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","ISL","EMPLOYMENT","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","SEAR","IDN","ROAD_SAFETY","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","IRL","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","ISR","HEALTH_SECTOR","Yes","","","",""
