"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CZE","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","PRK","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","EGY","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GIN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GNB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MLT","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","FSM","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MCO","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MNE","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","NPL","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","VUT","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","COG","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","IND","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","IDN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","IRQ","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KEN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LBN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LBY","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SLE","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BLR","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TCD","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ETH","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ZAF","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TZA","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","HTI","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MUS","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","AGO","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","VCT","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SSD","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BIH","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","COD","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GUY","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TLS","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CPV","No data received","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BDI","No response","","","","No response given to this particular question."
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ECU","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","PLW","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","POL","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SGP","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TUR","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ARG","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","DEU","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","HUN","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LTU","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","NGA","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","VNM","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ARM","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BRB","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CHL","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","EST","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ISL","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MEX","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SVN","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CHE","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ITA","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LVA","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","PRY","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TTO","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BHS","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KHM","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","IRN","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MYS","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MDV","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MNG","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","NLD","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KOR","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","WSM","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LCA","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","THA","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TKM","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","USA","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CHN","Yes","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","JPN","Yes","","","",""
