"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"NCD_DTH_TOT","PUBLISHED","2012","EUR","FRA","MLE","","238700","238742.50000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","GBR","MLE","","246400","246409.30000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","GEO","MLE","","22700","22726.74000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","GHA","MLE","","27600","27641.75000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","GNB","MLE","","2000","2017.45100","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","GNQ","MLE","","1200","1192.93500","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","GRC","MLE","","52700","52728.83000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","HND","MLE","","11300","11308.96000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","HRV","MLE","","23100","23077.66000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","HUN","MLE","","58600","58646.20000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","SEAR","IND","MLE","","2518900","2518934.00000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","IRQ","MLE","","38600","38626.02000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","ISL","MLE","","800","787.31500","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","JPN","MLE","","399300","399260.10000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","KAZ","MLE","","66100","66068.96000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","KEN","MLE","","50600","50628.05000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","WPR","KHM","MLE","","21400","21397.59000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","KWT","MLE","","2600","2590.01100","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EMR","LBN","MLE","","10500","10538.31000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","LBY","MLE","","9600","9643.57300","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","LSO","MLE","","3300","3334.18400","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","MAR","MLE","","55900","55865.40000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","MDG","MLE","","32700","32675.80000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","MEX","MLE","","236400","236406.80000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","SEAR","MMR","MLE","","89900","89905.46000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","MNE","MLE","","2700","2670.83700","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","MRT","MLE","","3300","3259.43200","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","MYS","MLE","","45200","45223.07000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","WPR","MYS","MLE","","60500","60488.53000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","NAM","MLE","","2500","2464.40000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","NIC","MLE","","6500","6487.35500","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","NIC","MLE","","11400","11416.65000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","NOR","MLE","","18400","18386.40000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","NZL","MLE","","12300","12262.95000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EMR","OMN","MLE","","3900","3941.29200","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","PAK","MLE","","242100","242107.30000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","PER","MLE","","44900","44907.24000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","PNG","MLE","","9100","9090.56400","","",""
"NCD_DTH_TOT","PUBLISHED","2012","SEAR","PRK","MLE","","91400","91369.56000","","",""
"NCD_DTH_TOT","VOID_APPROVED","2000","EUR","PRT","MLE","","46100","46118.55000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","PRY","MLE","","8600","8613.95400","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EMR","QAT","MLE","","1400","1358.51900","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","RUS","MLE","","875800","875806.60000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","RWA","MLE","","15700","15690.80000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","SAU","MLE","","34800","34783.57000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","SEN","MLE","","16000","15988.75000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","SEN","MLE","","13100","13081.82000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","WPR","SLB","MLE","","1000","1006.93900","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","SLV","MLE","","12700","12665.55000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","SRB","MLE","","52200","52231.02000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","SWZ","MLE","","1500","1498.08800","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","TCD","MLE","","13900","13900.89000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","SEAR","THA","MLE","","146200","146155.10000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","TJK","MLE","","13900","13893.34000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","SEAR","TLS","MLE","","1500","1541.94200","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","TUR","MLE","","198800","198756.20000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","TZA","MLE","","51600","51638.44000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","UKR","MLE","","283800","283821.10000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","USA","MLE","","1005000","1004954.00000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","VEN","MLE","","37200","37211.10000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EMR","YEM","MLE","","34600","34569.33000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","ZMB","MLE","","14800","14849.52000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","AGO","BTSX","GHE060","51.7","51.70915","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AFR","AGO","BTSX","GHE060","61.9","61.86248","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AMR","ATG","BTSX","GHE060","0.5","0.50876","","",""
"NCD_DTH_TOT","PUBLISHED","2010","WPR","AUS","MLE","GHE060","65.5","65.50546","","",""
"NCD_DTH_TOT","PUBLISHED","2010","EUR","AZE","FMLE","GHE060","24.4","24.37050","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AFR","BEN","FMLE","GHE060","15.7","15.73297","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","BFA","FMLE","GHE060","19.6","19.59218","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","BIH","MLE","GHE060","14.7","14.65142","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EUR","BIH","FMLE","GHE060","18.3","18.33855","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","BRN","FMLE","GHE060","0.4","0.35772","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","BWA","BTSX","GHE060","4.7","4.68181","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","CHE","MLE","GHE060","26.5","26.52558","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EUR","CHE","MLE","GHE060","29.1","29.08994","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","COG","FMLE","GHE060","6.2","6.23963","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","COM","BTSX","GHE060","1.8","1.75016","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AMR","CUB","BTSX","GHE060","82.4","82.43112","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","DEU","MLE","GHE060","352.4","352.44320","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AMR","DOM","MLE","GHE060","21.7","21.67789","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AMR","ECU","FMLE","GHE060","24.1","24.05473","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","EST","FMLE","GHE060","8.5","8.54428","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","FIN","BTSX","GHE060","42.3","42.29098","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EUR","GBR","MLE","GHE060","259.5","259.54730","","",""
"NCD_DTH_TOT","PUBLISHED","2010","EUR","GEO","MLE","GHE060","24.3","24.29926","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","GMB","FMLE","GHE060","1.8","1.80048","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","GNQ","BTSX","GHE060","2.7","2.65732","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AMR","GTM","MLE","GHE060","23.9","23.92114","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AMR","HND","FMLE","GHE060","13.2","13.20013","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","IRL","BTSX","GHE060","26.9","26.91052","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EUR","IRL","BTSX","GHE060","27.8","27.76609","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EUR","ISL","BTSX","GHE060","2","2.01770","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","JAM","MLE","GHE060","7","7.03946","","",""
"NCD_DTH_TOT","PUBLISHED","2010","EUR","KAZ","BTSX","GHE060","133.1","133.05960","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EUR","KGZ","MLE","GHE060","15.7","15.67399","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","LBN","MLE","GHE060","8.6","8.61419","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EMR","LBN","FMLE","GHE060","15.1","15.11175","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AMR","LCA","FMLE","GHE060","0.5","0.52483","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AFR","LSO","BTSX","GHE060","9.5","9.49383","","",""
"NCD_DTH_TOT","PUBLISHED","2010","EMR","MAR","MLE","GHE060","62","62.01621","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","MDG","BTSX","GHE060","49.9","49.92385","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EUR","MKD","MLE","GHE060","10","10.02656","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EUR","MLT","FMLE","GHE060","1.6","1.55735","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","MOZ","FMLE","GHE060","33.8","33.82883","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","MUS","BTSX","GHE060","6.9","6.94534","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AFR","NAM","BTSX","GHE060","7.7","7.74434","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","NIC","MLE","GHE060","8.5","8.52213","","",""
"NCD_DTH_TOT","PUBLISHED","2010","SEAR","NPL","MLE","GHE060","56.7","56.66471","","",""
"NCD_DTH_TOT","PUBLISHED","2010","EMR","OMN","FMLE","GHE060","2.4","2.41712","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AMR","PER","FMLE","GHE060","50","50.04097","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","PHL","FMLE","GHE060","121.9","121.93520","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","POL","BTSX","GHE060","329.2","329.17120","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AMR","PRY","BTSX","GHE060","23.3","23.29910","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EUR","ROU","MLE","GHE060","122.5","122.49210","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","SDN","FMLE","GHE060","51.2","51.23629","","",""
"NCD_DTH_TOT","PUBLISHED","2000","WPR","SGP","MLE","GHE060","7.9","7.91040","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AFR","SLE","FMLE","GHE060","15.7","15.69013","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AMR","SLV","FMLE","GHE060","14.7","14.71911","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EUR","SRB","BTSX","GHE060","103.1","103.13400","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AMR","SUR","BTSX","GHE060","3","2.96051","","",""
"NCD_DTH_TOT","PUBLISHED","2010","EUR","SVK","MLE","GHE060","24.1","24.05902","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EMR","SYR","MLE","GHE060","34.6","34.60093","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AFR","TGO","FMLE","GHE060","12.6","12.61390","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EUR","TKM","MLE","GHE060","16.2","16.15196","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EUR","TKM","FMLE","GHE060","14","14.03175","","",""
"NCD_DTH_TOT","PUBLISHED","2010","SEAR","TLS","BTSX","GHE060","3.1","3.06434","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","TZA","BTSX","GHE060","92.4","92.36817","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AFR","TZA","BTSX","GHE060","134.6","134.62090","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EUR","UZB","FMLE","GHE060","67.6","67.61291","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AMR","VCT","FMLE","GHE060","0.3","0.30251","","",""
"NCD_DTH_TOT","PUBLISHED","2016","EMR","YEM","BTSX","GHE060","98.6","98.58105","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AFR","ZAF","MLE","GHE060","120.6","120.57880","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AFR","ZWE","BTSX","GHE060","42.9","42.85507","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EMR","AFG","FMLE","GHE060","32.1","32.11929","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EUR","ARM","BTSX","GHE060","26","26.02698","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AMR","ATG","BTSX","GHE060","0.5","0.52928","","",""
"NCD_DTH_TOT","PUBLISHED","2010","EUR","BEL","FMLE","GHE060","46.2","46.23523","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AFR","BEN","FMLE","GHE060","18.1","18.08160","","",""
"NCD_DTH_TOT","PUBLISHED","2015","EMR","BHR","BTSX","GHE060","2.3","2.26526","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","BIH","BTSX","GHE060","28.9","28.88895","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AMR","BRA","BTSX","GHE060","887","887.00060","","",""
"NCD_DTH_TOT","PUBLISHED","2016","AMR","BRB","FMLE","GHE060","1.3","1.33822","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","CAN","MLE","GHE060","98.7","98.71894","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","CHE","BTSX","GHE060","55.4","55.39160","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AFR","CIV","MLE","GHE060","46.4","46.36819","","",""
"NCD_DTH_TOT","PUBLISHED","2010","AFR","CMR","BTSX","GHE060","71.3","71.26030","","",""
"NCD_DTH_TOT","PUBLISHED","2015","AFR","COM","FMLE","GHE060","1.1","1.14931","","",""
