"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_2","PUBLISHED","1997","PNG","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","PRY","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","PER","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","PHL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","POL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","PRT","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","QAT","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","KOR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","MDA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","ROU","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","RUS","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","RWA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","KNA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","LCA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","VCT","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","WSM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","SMR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","STP","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","SAU","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","SEN","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","SRB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","SYC","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","SLE","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","SGP","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","SVK","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","SVN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","SLB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2013","SOM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2013","ZAF","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","SSD","Endemic for dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","ESP","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","LKA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","SDN","Countries at preNTD_2 stage","","","",""
"NTD_2","PUBLISHED","2000","SUR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","SWZ","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","SWE","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","CHE","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","SYR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","TJK","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","THA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","MKD","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","TLS","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2011","TGO","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","TON","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","TTO","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","TUN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","TUR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","TKM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","TUV","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2009","UGA","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","UKR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","ARE","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","GBR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","TZA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","USA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","URY","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","UZB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","VUT","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","VEN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","VNM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","YEM","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","ZMB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","ZWE","Certified free of dracunculiasis","","","",""
