"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","MEASUREIMPORTANCETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_LEGAL_ENFORCEMENT","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_MONITORING_THROUGH_TEST_PURCHASE","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","EST","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","EST","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","EST","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","EST","SA_MONITORING_THROUGH_TEST_PURCHASE","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","EST","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","EST","SA_AWARENESS_CAMPAIGNS_YOUTH","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","FIN","SA_SERVER_TRAINING_VOLUNTARILY","Medium importance","","","",""
