"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"obesewm","EQ_MICS","PUBLISHED","2007","WPR","VUT","","","WQ1","","No data","","","","Not available."
"obesewm","EQ_MICS","PUBLISHED","2007","WPR","VUT","","","WQ2","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","WQ3","","8.0 [6.5-9.7]","7.97119","6.51506","9.71894",""
"obesewm","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","WQ4","","14.9 [13.4-16.5]","14.90976","13.41557","16.53858",""
"obesewm","EQ_DHS","PUBLISHED","2013","EMR","YEM","","","WQ5","","21.8 [19.1-24.8]","21.83879","19.13108","24.81215",""
"obesewm","EQ_DHS","PUBLISHED","1998","AFR","ZAF","","","WQ1","","No data","","","","Not available."
"obesewm","EQ_DHS","PUBLISHED","2001","AFR","ZMB","","","WQ2","","0.4 [0.2-1.0]","0.41137","0.16200","1.04062",""
"obesewm","EQ_DHS","PUBLISHED","2001","AFR","ZMB","","","WQ3","","1.4 [0.8-2.4]","1.36175","0.76244","2.42064",""
"obesewm","EQ_DHS","PUBLISHED","2001","AFR","ZMB","","","WQ4","","2.8 [2.0-4.1]","2.84720","1.96443","4.11002",""
"obesewm","EQ_DHS","PUBLISHED","2001","AFR","ZMB","","","WQ5","","8.3 [6.7-10.1]","8.26560","6.71110","10.14103",""
"obesewm","EQ_DHS","PUBLISHED","1994","AFR","ZWE","","","WQ1","","1.2 [0.5-2.8]","1.23702","0.54278","2.79426",""
"obesewm","EQ_DHS","PUBLISHED","1994","AFR","ZWE","","","WQ2","","3.8 [2.2-6.6]","3.80903","2.18809","6.55035",""
"obesewm","EQ_DHS","PUBLISHED","1994","AFR","ZWE","","","WQ3","","4.6 [2.7-7.8]","4.59550","2.67532","7.78363",""
"obesewm","EQ_DHS","PUBLISHED","2005","AFR","ZWE","","","WQ4","","7.9 [6.6-9.5]","7.94396","6.64971","9.46458",""
