"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPLACE","Display Value","Numeric","Low","High","Comments"
"SA_0000001553","PUBLISHED","2016","EUR","ROU","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","SMR","SA_RELIGIOUS_PLACES","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","SRB","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","SRB","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","SRB","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","SWE","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","MKD","SA_GOVERNMENT_OFFICES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","MKD","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","TUR","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","TUR","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ESP","SA_PARKS_AND_STREETS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ESP","SA_LEISURE_EVENTS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","BTN","SA_SPORTING_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","BTN","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","UZB","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","JPN","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","MHL","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","JPN","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","MYS","SA_GOVERNMENT_OFFICES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","MYS","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","MHL","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","MDV","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","MDV","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","MMR","SA_PUBLIC_TRANSPORT","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","MMR","SA_SPORTING_EVENTS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","THA","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","THA","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","KHM","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","TLS","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","SEAR","TLS","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","KHM","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","KHM","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","NZL","SA_HEALTH_CARE_ESTABLISHMENTS","voluntary/self-restricted","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","WSM","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","WSM","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","SGP","SA_PUBLIC_TRANSPORT","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","SGP","SA_SPORTING_EVENTS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","VUT","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","WPR","VUT","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","YEM","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","YEM","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","YEM","SA_WORKPLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ALB","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","ALB","SA_GOVERNMENT_OFFICES","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","ARE","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EMR","ARE","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553","PUBLISHED","2016","EUR","SWE","SA_PARKS_AND_STREETS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","AGO","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553","PUBLISHED","2016","AFR","AGO","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
