"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATER","PUBLISHED","1997","SEAR","IDN","","WQ3","67.6","","","",""
"EQ_WATER","PUBLISHED","1997","SEAR","IDN","","WQ4","66.2","","","",""
"EQ_WATER","PUBLISHED","1997","SEAR","IDN","","WQ5","69.6","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","IDN","","WQ1","64.2","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","IDN","","WQ2","70.6","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","IDN","","WQ3","69.5","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","IDN","","WQ4","72.3","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","IDN","","WQ5","55.6","","","",""
"EQ_WATER","PUBLISHED","1996","SEAR","NPL","","WQ1","80.8","","","",""
"EQ_WATER","PUBLISHED","1996","SEAR","NPL","","WQ2","75.1","","","",""
"EQ_WATER","PUBLISHED","1996","SEAR","NPL","","WQ3","85.0","","","",""
"EQ_WATER","PUBLISHED","1996","SEAR","NPL","","WQ4","92.3","","","",""
"EQ_WATER","PUBLISHED","1996","SEAR","NPL","","WQ5","96.4","","","",""
"EQ_WATER","PUBLISHED","2006","SEAR","NPL","","WQ1","77.7","","","",""
"EQ_WATER","PUBLISHED","2006","SEAR","NPL","","WQ2","80.3","","","",""
"EQ_WATER","PUBLISHED","2006","SEAR","NPL","","WQ3","81.8","","","",""
"EQ_WATER","PUBLISHED","2006","SEAR","NPL","","WQ4","77.3","","","",""
"EQ_WATER","PUBLISHED","2006","SEAR","NPL","","WQ5","85.8","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","TZA","","WQ1","45.4","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","TZA","","WQ2","81.0","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","TZA","","WQ3","81.2","","","",""
"EQ_WATER","PUBLISHED","2007","EMR","JOR","","WQ5","52.1","","","",""
"EQ_WATER","PUBLISHED","2007","EMR","JOR","","WQ4","74.9","","","",""
"EQ_WATER","PUBLISHED","2007","EMR","JOR","","WQ3","79.1","","","",""
"EQ_WATER","PUBLISHED","2007","EMR","JOR","","WQ2","90.2","","","",""
"EQ_WATER","PUBLISHED","2007","EMR","JOR","","WQ1","91.6","","","",""
"EQ_WATER","PUBLISHED","1997","EMR","JOR","","WQ5","99.3","","","",""
"EQ_WATER","PUBLISHED","1997","EMR","JOR","","WQ4","99.4","","","",""
"EQ_WATER","PUBLISHED","1997","EMR","JOR","","WQ3","99.5","","","",""
"EQ_WATER","PUBLISHED","1997","EMR","JOR","","WQ2","98.3","","","",""
"EQ_WATER","PUBLISHED","1997","EMR","JOR","","WQ1","90.5","","","",""
"EQ_WATER","PUBLISHED","2004","AMR","PER","","WQ5","92.6","","","",""
"EQ_WATER","PUBLISHED","2004","AMR","PER","","WQ4","94.6","","","",""
"EQ_WATER","PUBLISHED","2004","AMR","PER","","WQ3","91.0","","","",""
"EQ_WATER","PUBLISHED","2004","AMR","PER","","WQ2","85.6","","","",""
"EQ_WATER","PUBLISHED","2004","AMR","PER","","WQ1","62.3","","","",""
