"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_smkless_svy_national_adult","PUBLISHED","EUR","DNK","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","EST","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","FIN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","GEO","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","DEU","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","GRC","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","ISL","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","KAZ","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","KGZ","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","NLD","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","NOR","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","POL","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","RUS","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","SWE","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","CHE","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","TKM","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","UKR","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","UZB","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","BGD","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","BTN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","IND","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","IDN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","MMR","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","NPL","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","LKA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","THA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","TLS","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","WPR","KHM","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","WPR","LAO","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","WPR","MYS","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","WPR","MNG","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","WPR","PLW","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","WPR","PHL","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","WPR","VNM","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","TCD","Subnational","","","",""
"M_smkless_svy_national_adult","PUBLISHED","SEAR","MDV","Subnational","","","",""
