"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"MDG_0000000027","NLIS_313135","PUBLISHED","2011","SEAR","BGD","BTSX","41.4","41.40000","","",""
"MDG_0000000027","NLIS_312794","PUBLISHED","2000","SEAR","IDN","FMLE","41.0","41.00000","","",""
"MDG_0000000027","NLIS_313244","PUBLISHED","2013","SEAR","BGD","MLE","39.6","39.60000","","",""
"MDG_0000000027","NLIS_313244","PUBLISHED","2013","SEAR","BGD","BTSX","38.7","38.70000","","",""
"MDG_0000000027","NLIS_313200","PUBLISHED","2013","SEAR","IDN","MLE","37.2","37.20000","","",""
"MDG_0000000027","NLIS_313200","PUBLISHED","2013","SEAR","IDN","BTSX","36.4","36.40000","","",""
"MDG_0000000027","NLIS_313123","PUBLISHED","2009-2010","SEAR","MMR","BTSX","35.1","35.10000","","",""
"MDG_0000000027","NLIS_313123","PUBLISHED","2009-2010","SEAR","MMR","FMLE","33.4","33.40000","","",""
"MDG_0000000027","NLIS_312548","PUBLISHED","2001","SEAR","MDV","MLE","32.6","32.60000","","",""
"MDG_0000000027","NLIS_313074","PUBLISHED","2009","SEAR","PRK","BTSX","32.4","32.40000","","",""
"MDG_0000000027","NLIS_310303","PUBLISHED","1987","SEAR","LKA","MLE","31.7","31.70000","","",""
"MDG_0000000027","NLIS_310303","PUBLISHED","1987","SEAR","LKA","BTSX","31.2","31.20000","","",""
"MDG_0000000027","NLIS_310303","PUBLISHED","1987","SEAR","LKA","FMLE","30.5","30.50000","","",""
"MDG_0000000027","NLIS_312797","PUBLISHED","2004","SEAR","IDN","BTSX","28.6","28.60000","","",""
"MDG_0000000027","NLIS_313201","PUBLISHED","2012","SEAR","PRK","FMLE","25.8","25.80000","","",""
"MDG_0000000027","NLIS_310309","PUBLISHED","1987","SEAR","THA","BTSX","25.3","25.30000","","",""
"MDG_0000000027","NLIS_312010","PUBLISHED","1993","SEAR","THA","BTSX","21.1","21.10000","","",""
"MDG_0000000027","NLIS_312634","PUBLISHED","2000","SEAR","LKA","BTSX","18.4","18.40000","","",""
"MDG_0000000027","NLIS_312922","PUBLISHED","2006-2007","SEAR","LKA","MLE","18.1","18.10000","","",""
"MDG_0000000027","NLIS_312481","PUBLISHED","2005-2006","SEAR","THA","BTSX","15.7","15.70000","","",""
"MDG_0000000027","NLIS_313196","PUBLISHED","2012","SEAR","LKA","BTSX","14.7","14.70000","","",""
"MDG_0000000027","NLIS_311758","PUBLISHED","1996","EUR","UZB","MLE","43.2","43.20000","","",""
"MDG_0000000027","NLIS_312554","PUBLISHED","2000","EUR","TJK","BTSX","42.1","42.10000","","",""
"MDG_0000000027","NLIS_313069","PUBLISHED","2007","EUR","TJK","BTSX","39.2","39.20000","","",""
"MDG_0000000027","NLIS_312361","PUBLISHED","2000","EUR","ALB","FMLE","38.1","38.10000","","",""
"MDG_0000000027","NLIS_311841","PUBLISHED","1997","EUR","KGZ","BTSX","32.6","32.60000","","",""
"MDG_0000000027","NLIS_312862","PUBLISHED","2005","EUR","TJK","FMLE","30.7","30.70000","","",""
"MDG_0000000027","NLIS_312933","PUBLISHED","2006","EUR","AZE","MLE","28.5","28.50000","","",""
"MDG_0000000027","NLIS_311628","PUBLISHED","1996","EUR","AZE","BTSX","28.0","28.00000","","",""
"MDG_0000000027","NLIS_313164","PUBLISHED","2012","EUR","TJK","BTSX","26.8","26.80000","","",""
"MDG_0000000027","NLIS_313164","PUBLISHED","2012","EUR","TJK","MLE","26.7","26.70000","","",""
"MDG_0000000027","NLIS_311387","PUBLISHED","1993","EUR","TUR","BTSX","24.1","24.10000","","",""
"MDG_0000000027","NLIS_312879","PUBLISHED","2005","EUR","ALB","FMLE","23.8","23.80000","","",""
"MDG_0000000027","NLIS_313062","PUBLISHED","2008-2009","EUR","ALB","BTSX","23.1","23.10000","","",""
