"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","EMFRADIOBAND","Display Value","Numeric","Low","High","Comments"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","PER","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","PHL","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","PHL","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","RUS","EMFPUBLIC","EMFRADIO","EMFFREQ0900","1","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","RUS","EMFPUBLIC","EMFRADIO","EMFFREQ1800","1","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","SAU","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","SAU","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","TUN","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","TUN","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","TUR","EMFPUBLIC","EMFRADIO","EMFFREQ0900","0.27","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","TUR","EMFPUBLIC","EMFRADIO","EMFFREQ1800","0.55","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","USA","EMFPUBLIC","EMFRADIO","EMFFREQ0900","6","","","","Averaging time is 30 minutes. "
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","USA","EMFPUBLIC","EMFRADIO","EMFFREQ1800","10","","","","Averaging time is 30 minutes. "
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AFR","ZAF","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[4.5]","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AFR","ZAF","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[9.0]","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AFR","ZMB","EMFPUBLIC","EMFRADIO","EMFFREQ0900","4.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AFR","ZMB","EMFPUBLIC","EMFRADIO","EMFFREQ1800","9","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","SWE","EMFPUBLIC","EMFRADIO","EMFFREQ0900","[4.5]","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","SWE","EMFPUBLIC","EMFRADIO","EMFFREQ1800","[9]","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","BEL","EMFPUBLIC","EMFRADIO","EMFFREQ0900","","","","","Brussels: 0.096 W/m^2 (maximum total field, each operator gets 33% of the total)"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","BEL","EMFPUBLIC","EMFRADIO","EMFFREQ1800","","","","","Brussels: 0.192 W/m^2 (maximum total field, each operator gets 33% of the total)"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","ARG","EMFWORKER","EMFRADIO","EMFFREQ0900","30","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","ARG","EMFWORKER","EMFRADIO","EMFFREQ1800","60","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","AUS","EMFWORKER","EMFRADIO","EMFFREQ0900","22.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","WPR","AUS","EMFWORKER","EMFRADIO","EMFFREQ1800","45","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","AUT","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","AUT","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","BEL","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","BEL","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","BGR","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","BGR","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","BHR","EMFWORKER","EMFRADIO","EMFFREQ0900","22.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","BHR","EMFWORKER","EMFRADIO","EMFFREQ1800","45","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","BRA","EMFWORKER","EMFRADIO","EMFFREQ0900","22.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","BRA","EMFWORKER","EMFRADIO","EMFFREQ1800","45","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","CAN","EMFWORKER","EMFRADIO","EMFFREQ0900","19.36","","","","The formula for calculating power density reference levels at frequencies between 100 MHz and 6 GHz is 0.6455 f (exp 0.5) - where f is the frequency in MHz"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","CAN","EMFWORKER","EMFRADIO","EMFFREQ1800","27.39","","","","The formula for calculating power density reference levels at frequencies between 100 MHz and 6 GHz is 0.6455 f (exp 0.5) - where f is the frequency in MHz"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","CHE","EMFWORKER","EMFRADIO","EMFFREQ0900","22.5","","","","instantaneous limit"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","CHE","EMFWORKER","EMFRADIO","EMFFREQ1800","45","","","","instantaneous limit"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","CHL","EMFWORKER","EMFRADIO","EMFFREQ0900","100","","","","for 8 hours with a maximum value of 250 W/m^2"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","AMR","CHL","EMFWORKER","EMFRADIO","EMFFREQ1800","100","","","","for 8 hours with a maximum value of 250 W/m^2"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","CYP","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","CYP","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","DEU","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","","Several exposure areas and limits (4.50 - 22.49 W/m^2)"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","DEU","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","","Several exposure areas and limits (9.01 - 44.98 W/m^2)"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FIN","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FIN","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FRA","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","FRA","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GBR","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GBR","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GRC","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","GRC","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","IRN","EMFWORKER","EMFRADIO","EMFFREQ0900","22.5","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EMR","IRN","EMFWORKER","EMFRADIO","EMFFREQ1800","45","","","",""
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","ISR","EMFWORKER","EMFRADIO","EMFFREQ0900","22.5","","","","According to the American Conference of Governmental Industrial Hygienists (ACGIH) threshold limit value (TLV)"
"EMFLIMITPOWERDENSITY","PUBLISHED","2017","EUR","ISR","EMFWORKER","EMFRADIO","EMFFREQ1800","45","","","","According to the American Conference of Governmental Industrial Hygienists (ACGIH) threshold limit value (TLV)"
