"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ADVERTISINGTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","PHL","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","KOR","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","RWA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","SYR","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","THA","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","TLS","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_SPIRITS_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","GBR","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","ZMB","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","BHR","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","DJI","SA_SPIRITS_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","BEL","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","BLZ","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","COL","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","COL","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","COK","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","COK","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","COD","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","DOM","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","ETH","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","FRA","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","FRA","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GIN","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","LAO","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","MDV","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MLI","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","NOR","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","PAK","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","PLW","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","PRT","SA_SPIRITS_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","KOR","SA_SPIRITS_ADS","no restrictions","","","",""
