"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2007","EUR","FIN","MLE","46.0","46.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2007","EUR","NOR","FMLE","46.0","46.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2007","EUR","SWE","FMLE","47.0","47.00000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2011","EUR","FIN","BTSX","48.0","48.00000","","",""
"SA_0000001783","SA_0000001783_IRL","PUBLISHED","2011","EUR","IRL","MLE","48.0","48.00000","","",""
"SA_0000001783","SA_0000001783_MNE","PUBLISHED","2011","EUR","MNE","MLE","48.0","48.00000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2007","EUR","FIN","BTSX","48.0","48.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2003","EUR","PRT","BTSX","48.0","48.00000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2003","EUR","ROU","FMLE","48.0","48.00000","","",""
"SA_0000001783","SA_0000001783_GRD","PUBLISHED","2005","AMR","GRD","BTSX","48.8","48.80000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2011","EUR","ROU","BTSX","49.0","49.00000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2007","EUR","FIN","FMLE","49.0","49.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2003","EUR","NOR","MLE","49.0","49.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2003","EUR","SWE","FMLE","49.0","49.00000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2011","EUR","FIN","FMLE","50.0","50.00000","","",""
"SA_0000001783","SA_0000001783_IRL","PUBLISHED","2011","EUR","IRL","BTSX","50.0","50.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2011","EUR","PRT","FMLE","50.0","50.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2003","EUR","NOR","BTSX","51.0","51.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2003","EUR","SWE","BTSX","51.0","51.00000","","",""
"SA_0000001783","SA_0000001783_IRL","PUBLISHED","2011","EUR","IRL","FMLE","52.0","52.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2011","EUR","PRT","BTSX","52.0","52.00000","","",""
"SA_0000001783","SA_0000001783_SRB","PUBLISHED","2011","EUR","SRB","BTSX","52.0","52.00000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2003","EUR","FIN","MLE","52.0","52.00000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2007","EUR","ROU","BTSX","52.0","52.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2003","EUR","SWE","MLE","52.0","52.00000","","",""
"SA_0000001783","SA_0000001783_AUS","PUBLISHED","2008","WPR","AUS","BTSX","52.2","52.20000","","",""
"SA_0000001783","SA_0000001783_AUS","PUBLISHED","2008","WPR","AUS","MLE","52.2","52.20000","","",""
"SA_0000001783","SA_0000001783_AUS","PUBLISHED","2008","WPR","AUS","FMLE","52.2","52.20000","","",""
"SA_0000001783","SA_0000001783_POL","PUBLISHED","2011","EUR","POL","FMLE","53.0","53.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2011","EUR","UKR","MLE","53.0","53.00000","","",""
"SA_0000001783","SA_0000001783_CYP","PUBLISHED","2003","EUR","CYP","FMLE","53.0","53.00000","","",""
"SA_0000001783","SA_0000001783_CYP","PUBLISHED","2007","EUR","CYP","FMLE","53.0","53.00000","","",""
"SA_0000001783","SA_0000001783_BIH","PUBLISHED","2011","EUR","BIH","MLE","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_GRD","PUBLISHED","2008","AMR","GRD","FMLE","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2011","EUR","UKR","BTSX","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2011","EUR","UKR","FMLE","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2003","EUR","FIN","BTSX","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_FRA","PUBLISHED","2003","EUR","FRA","FMLE","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2003","EUR","NOR","FMLE","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_POL","PUBLISHED","2007","EUR","POL","FMLE","54.0","54.00000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2011","EUR","ROU","MLE","55.0","55.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2003","EUR","PRT","MLE","55.0","55.00000","","",""
"SA_0000001783","SA_0000001783_ROU","PUBLISHED","2003","EUR","ROU","BTSX","55.0","55.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2007","EUR","RUS","FMLE","55.0","55.00000","","",""
"SA_0000001783","SA_0000001783_ITA","PUBLISHED","2011","EUR","ITA","FMLE","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2011","EUR","PRT","MLE","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_HRV","PUBLISHED","2003","EUR","HRV","FMLE","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_FIN","PUBLISHED","2003","EUR","FIN","FMLE","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2003","EUR","HUN","BTSX","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2003","EUR","HUN","FMLE","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_IRL","PUBLISHED","2007","EUR","IRL","BTSX","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_IRL","PUBLISHED","2007","EUR","IRL","FMLE","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2007","EUR","RUS","BTSX","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2007","EUR","RUS","MLE","56.0","56.00000","","",""
"SA_0000001783","SA_0000001783_DMA","PUBLISHED","2006","AMR","DMA","BTSX","56.6","56.60000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2011","EUR","EST","MLE","57.0","57.00000","","",""
"SA_0000001783","SA_0000001783_POL","PUBLISHED","2011","EUR","POL","BTSX","57.0","57.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2003","EUR","HUN","MLE","57.0","57.00000","","",""
"SA_0000001783","SA_0000001783_IRL","PUBLISHED","2007","EUR","IRL","MLE","57.0","57.00000","","",""
"SA_0000001783","SA_0000001783_POL","PUBLISHED","2007","EUR","POL","BTSX","57.0","57.00000","","",""
"SA_0000001783","SA_0000001783_SVN","PUBLISHED","2003","EUR","SVN","FMLE","57.0","57.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2011","EUR","SVK","FMLE","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2007","EUR","EST","MLE","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_FRA","PUBLISHED","2003","EUR","FRA","BTSX","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2007","EUR","HUN","FMLE","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_ITA","PUBLISHED","2003","EUR","ITA","FMLE","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_ITA","PUBLISHED","2007","EUR","ITA","FMLE","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2007","EUR","PRT","FMLE","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2003","EUR","UKR","BTSX","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2003","EUR","UKR","FMLE","58.0","58.00000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2011","EUR","EST","BTSX","59.0","59.00000","","",""
"SA_0000001783","SA_0000001783_SRB","PUBLISHED","2011","EUR","SRB","MLE","59.0","59.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2007","EUR","HUN","BTSX","59.0","59.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2007","EUR","HUN","MLE","59.0","59.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2003","EUR","SVK","FMLE","59.0","59.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2003","EUR","UKR","MLE","59.0","59.00000","","",""
"SA_0000001783","SA_0000001783_COL","PUBLISHED","2004","AMR","COL","BTSX","59.2","59.20000","","",""
"SA_0000001783","SA_0000001783_TTO","PUBLISHED","2006","AMR","TTO","BTSX","59.4","59.40000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2011","EUR","EST","FMLE","60.0","60.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2011","EUR","HUN","FMLE","60.0","60.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2011","EUR","SVK","BTSX","60.0","60.00000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2007","EUR","EST","BTSX","60.0","60.00000","","",""
"SA_0000001783","SA_0000001783_POL","PUBLISHED","2003","EUR","POL","FMLE","60.0","60.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2007","EUR","PRT","BTSX","60.0","60.00000","","",""
"SA_0000001783","SA_0000001783_SVN","PUBLISHED","2003","EUR","SVN","BTSX","60.0","60.00000","","",""
"SA_0000001783","SA_0000001783_URY","PUBLISHED","2009","AMR","URY","BTSX","60.6","60.60000","","",""
"SA_0000001783","SA_0000001783_HRV","PUBLISHED","2011","EUR","HRV","FMLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2011","EUR","HUN","BTSX","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_POL","PUBLISHED","2011","EUR","POL","MLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_BGR","PUBLISHED","2007","EUR","BGR","FMLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2003","EUR","EST","BTSX","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2003","EUR","EST","MLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2003","EUR","EST","FMLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_FRA","PUBLISHED","2003","EUR","FRA","MLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_LVA","PUBLISHED","2003","EUR","LVA","BTSX","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_LVA","PUBLISHED","2003","EUR","LVA","MLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_POL","PUBLISHED","2007","EUR","POL","MLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2003","EUR","RUS","MLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2007","EUR","UKR","BTSX","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2007","EUR","UKR","FMLE","61.0","61.00000","","",""
"SA_0000001783","SA_0000001783_BGR","PUBLISHED","2011","EUR","BGR","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_CYP","PUBLISHED","2011","EUR","CYP","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_HUN","PUBLISHED","2011","EUR","HUN","MLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2011","EUR","SVK","MLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_SVN","PUBLISHED","2011","EUR","SVN","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_ESP","PUBLISHED","2011","EUR","ESP","MLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_BGR","PUBLISHED","2003","EUR","BGR","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_HRV","PUBLISHED","2007","EUR","HRV","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_CYP","PUBLISHED","2003","EUR","CYP","BTSX","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_CYP","PUBLISHED","2007","EUR","CYP","BTSX","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_EST","PUBLISHED","2007","EUR","EST","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_FRA","PUBLISHED","2007","EUR","FRA","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_LVA","PUBLISHED","2003","EUR","LVA","FMLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_PRT","PUBLISHED","2007","EUR","PRT","MLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2003","EUR","RUS","BTSX","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2007","EUR","SVK","MLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_UKR","PUBLISHED","2007","EUR","UKR","MLE","62.0","62.00000","","",""
"SA_0000001783","SA_0000001783_ITA","PUBLISHED","2011","EUR","ITA","BTSX","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_LVA","PUBLISHED","2011","EUR","LVA","MLE","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_LTU","PUBLISHED","2011","EUR","LTU","BTSX","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_LTU","PUBLISHED","2011","EUR","LTU","MLE","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_ESP","PUBLISHED","2011","EUR","ESP","BTSX","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_ESP","PUBLISHED","2011","EUR","ESP","FMLE","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_HRV","PUBLISHED","2003","EUR","HRV","BTSX","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_ITA","PUBLISHED","2007","EUR","ITA","BTSX","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2003","EUR","SVK","BTSX","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2007","EUR","SVK","BTSX","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_SVK","PUBLISHED","2007","EUR","SVK","FMLE","63.0","63.00000","","",""
"SA_0000001783","SA_0000001783_SVN","PUBLISHED","2003","EUR","SVN","MLE","63.0","63.00000","","",""
