"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPE","Display Value","Numeric","Low","High","Comments"
"RSUD_8","PUBLISHED","2008","EUR","GEO","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","DEU","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","DEU","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GHA","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GHA","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","GRC","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","GRC","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","GTM","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","GTM","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GIN","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GIN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","HND","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","HND","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","HUN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","HUN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ISL","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ISL","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","IND","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","IND","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","IDN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","IDN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","IRN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","IRN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","IRQ","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","IRQ","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","IRL","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","IRL","ALCOHOL","yes","","","",""
