"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_svy_national_youth","PUBLISHED","AMR","CHL","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","COL","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","CRI","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","CUB","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","DMA","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","DOM","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","SLV","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","GRD","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","GTM","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","GUY","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","HTI","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","HND","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","JAM","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","MEX","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","PAN","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","PRY","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","PER","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","KNA","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","LCA","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","VCT","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","SUR","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","TTO","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","USA","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","URY","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","VEN","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","BHR","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","DJI","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","EGY","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","IRN","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","IRQ","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","JOR","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","KWT","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","LBN","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","LBY","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","MAR","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","OMN","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","PAK","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","QAT","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","SAU","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","SDN","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","SYR","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","TUN","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","ARE","National","","","",""
"M_svy_national_youth","PUBLISHED","EMR","YEM","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","ALB","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","ARM","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","AUT","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","AZE","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","BLR","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","BIH","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","BGR","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","HRV","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","CYP","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","CZE","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","DNK","National","","","",""
"M_svy_national_youth","PUBLISHED","EUR","EST","National","","","",""
