"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_svy_age_adult","PUBLISHED","EUR","TKM","18-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","LAO","18-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","WSM","18-64","","","",""
"M_svy_age_adult","PUBLISHED","AMR","VEN","18-65","","","",""
"M_svy_age_adult","PUBLISHED","AMR","VCT","18-69","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","BTN","18-69","","","",""
"M_svy_age_adult","PUBLISHED","WPR","SGP","18-69","","","",""
"M_svy_age_adult","PUBLISHED","WPR","KOR","19+","","","",""
"M_svy_age_adult","PUBLISHED","AFR","MUS","19-75","","","",""
"M_svy_age_adult","PUBLISHED","AMR","BLZ","20+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","MEX","20+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","ISR","20+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","MNE","20+","","","",""
"M_svy_age_adult","PUBLISHED","WPR","JPN","20+","","","",""
"M_svy_age_adult","PUBLISHED","WPR","PHL","20+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","ECU","20-59","","","",""
"M_svy_age_adult","PUBLISHED","EMR","BHR","20-64","","","",""
"M_svy_age_adult","PUBLISHED","EUR","LTU","20-64","","","",""
"M_svy_age_adult","PUBLISHED","AMR","BRB","25+","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","BGD","25+","","","",""
"M_svy_age_adult","PUBLISHED","AFR","BWA","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","BFA","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","CPV","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","TCD","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","COM","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","GMB","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","LSO","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","LBR","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","STP","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","SYC","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","SLE","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","SWZ","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AFR","TZA","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AMR","BHS","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AMR","GRD","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AMR","KNA","25-64","","","",""
"M_svy_age_adult","PUBLISHED","EMR","EGY","25-64","","","",""
"M_svy_age_adult","PUBLISHED","EMR","LBY","25-64","","","",""
"M_svy_age_adult","PUBLISHED","EUR","KGZ","25-64","","","",""
"M_svy_age_adult","PUBLISHED","EUR","SVN","25-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","FJI","25-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","PLW","25-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","TON","25-64","","","",""
"M_svy_age_adult","PUBLISHED","WPR","VUT","25-64","","","",""
"M_svy_age_adult","PUBLISHED","AMR","SUR","25-65","","","",""
"M_svy_age_adult","PUBLISHED","EUR","MDA","25-69","","","",""
"M_svy_age_adult","PUBLISHED","EMR","TUN","35-70","","","",""
"M_svy_age_adult","PUBLISHED","EUR","MKD","65+","","","",""
