"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDPREVENTIONPROGRAMME","Display Value","Numeric","Low","High","Comments"
"RSUD_600","PUBLISHED","2014","AFR","LBR","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LBR","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LBR","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LBR","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LBR","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LBR","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LBR","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LBR","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","LBY","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","LBY","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","LBY","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","LBY","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EMR","LBY","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AMR","LCA","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","LKA","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","LKA","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","SEAR","LKA","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","ADS_IN_PUBLIC","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","MASS_MEDIA_AUDIOVISUAL","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","MASS_MEDIA_PRINT","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","SCHOOL_MANUAL_BASED","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","WORK_PLACE_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","COMMUNITY_BASED_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","AFR","LSO","PARENT_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LTU","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LUX","SERVING_STAFF_TRAINING_PROG","No data","","","",""
"RSUD_600","PUBLISHED","2014","EUR","LUX","ADS_IN_PUBLIC","No data","","","",""
