"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","12.2 [10.5-14.0]","12.20000","10.50000","14.00000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_CENTRALAMR","0.7 [0.4-1.2]","0.70000","0.40000","1.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_CENTRALASIASOUTHERNASIA","57.8 [46.4-69.1]","57.80000","46.40000","69.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_WESTERNAFR","10.7 [9.4-12.2]","10.70000","9.40000","12.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_EASTERNASIA","2.5 [2.3-2.7]","2.50000","2.30000","2.70000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_SUBSAHARANAFRICA","26.8 [24.0-29.5]","26.80000","24.00000","29.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_NORTHERNAMR","0.2","0.20000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_SOUTHERNAFR","0.6 [0.5-0.8]","0.60000","0.50000","0.80000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_LLDC","11.9 [8.7-15.9]","11.90000","8.70000","15.90000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_WESTERNASIA","1.4 [0.6-3.4]","1.40000","0.60000","3.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_SOUTHAMR","1.0 [0.6-1.5]","1.00000","0.60000","1.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_CARIBBEAN","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_WESTERNASIANORTHERNAFR","3.0 [1.2-4.7]","3.00000","1.20000","4.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_NORTHAFR","1.6 [0.7-3.3]","1.60000","0.70000","3.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_LAC","1.8 [1.3-2.4]","1.80000","1.30000","2.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_OCEANIAexAUSNZL","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_SOUTHASIA","57.5 [46.7-69.4]","57.50000","46.70000","69.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2012","","","","UNSDG_LDC","35.2 [25.7-46.7]","35.20000","25.70000","46.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_SOUTHASIA","52.0 [41.6-63.7]","52.00000","41.60000","63.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_NORTHERNAMR","0.1","0.10000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_SOUTHAMR","0.9 [0.6-1.3]","0.90000","0.60000","1.30000","Consecutive Low Population Coverage"
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_SUBSAHARANAFRICA","26.8 [24.0-29.7]","26.80000","24.00000","29.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_LLDC","11.5 [8.4-15.5]","11.50000","8.40000","15.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_SOUTHERNAFR","0.6 [0.5-0.8]","0.60000","0.50000","0.80000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_WESTERNASIA","1.3 [0.4-3.3]","1.30000","0.40000","3.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_NORTHAFR","1.6 [0.7-3.5]","1.60000","0.70000","3.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_CARIBBEAN","0.1 [0.1-0.2]","0.10000","0.10000","0.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_WESTERNASIANORTHERNAFR","2.8 [1.1-4.6]","2.80000","1.10000","4.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_CENTRALASIA","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_SOUTHEASTERNASIA","9.1 [7.5-11.1]","9.10000","7.50000","11.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_MIDDLEAFR","4.5 [3.4-5.9]","4.50000","3.40000","5.90000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_LAC","1.6 [1.1-2.1]","1.60000","1.10000","2.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_OCEANIAexAUSNZL","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_CENTRALAMR","0.6 [0.4-1.1]","0.60000","0.40000","1.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","11.1 [9.3-12.9]","11.10000","9.30000","12.90000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_LDC","34.0 [24.4-45.7]","34.00000","24.40000","45.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_WESTERNAFR","10.9 [9.5-12.5]","10.90000","9.50000","12.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","2015","","","","UNSDG_CENTRALASIASOUTHERNASIA","52.2 [41.2-63.2]","52.20000","41.20000","63.20000",""
