"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"SDGPM25","PUBLISHED","2016","EUR","","HRV","URB","17.6 [16.2-19.3]","17.60965","16.21585","19.29656",""
"SDGPM25","PUBLISHED","2016","EUR","","HRV","TOTL","17.0 [15.8-18.8]","17.02948","15.80947","18.81504",""
"SDGPM25","PUBLISHED","2016","AMR","","HTI","TOTL","14.6 [7.6-31.2]","14.62804","7.59829","31.21190",""
"SDGPM25","PUBLISHED","2016","AMR","","HTI","URB","14.7 [7.6-31.5]","14.71552","7.64246","31.48962",""
"SDGPM25","PUBLISHED","2016","EUR","","HUN","TOTL","15.6 [14.9-17.0]","15.61644","14.86992","16.97102",""
"SDGPM25","PUBLISHED","2016","EUR","","HUN","URB","16.3 [15.5-17.5]","16.26883","15.45487","17.50925",""
"SDGPM25","PUBLISHED","2016","SEAR","","IDN","URB","16.4 [14.1-21.2]","16.43951","14.10850","21.20239",""
"SDGPM25","PUBLISHED","2016","SEAR","","IDN","TOTL","15.6 [13.5-20.2]","15.57552","13.54476","20.16324",""
"SDGPM25","PUBLISHED","2016","SEAR","","IND","TOTL","65.2 [78.6-96.6]","65.20370","78.60805","96.56065",""
"SDGPM25","PUBLISHED","2016","SEAR","","IND","URB","68.0 [81.5-100.4]","67.98202","81.45493","100.44332",""
"SDGPM25","PUBLISHED","2016","EUR","","IRL","TOTL","8.3 [7.8-9.0]","8.25914","7.76150","8.96905",""
"SDGPM25","PUBLISHED","2016","EUR","","IRL","URB","8.7 [8.1-9.3]","8.66983","8.13614","9.28817",""
"SDGPM25","PUBLISHED","2016","EMR","","IRN","TOTL","35.1 [32.9-44.8]","35.08916","32.85733","44.78925",""
"SDGPM25","PUBLISHED","2016","EMR","","IRN","URB","34.4 [30.9-41.3]","34.39017","30.91882","41.32077",""
