"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_SOUTHAMR","6.8 [5.0-9.2]","6.80000","5.00000","9.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_CENTRALAMR","5.4 [3.7-7.7]","5.40000","3.70000","7.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_WESTERNASIANORTHERNAFR","6.6 [4.2-9.0]","6.60000","4.20000","9.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_LAC","6.2 [4.7-7.6]","6.20000","4.70000","7.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_CENTRALASIASOUTHERNASIA","2.8 [0.4-5.2]","2.80000","0.40000","5.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_NORTHAFR","7.2 [4.3-11.8]","7.20000","4.30000","11.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_EASTERNASIA","6.4 [5.9-7.0]","6.40000","5.90000","7.00000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_NORTHERNAMR","5.7 [5.5-6.0]","5.70000","5.50000","6.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_CARIBBEAN","4.2 [4.0-4.5]","4.20000","4.00000","4.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_WESTERNASIA","6.0 [3.5-10.0]","6.00000","3.50000","10.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_SOUTHASIA","2.4 [0.9-6.5]","2.40000","0.90000","6.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1990","","","","UNSDG_SUBSAHARANAFRICA","4.9 [3.9-5.9]","4.90000","3.90000","5.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_LLDC","4.1 [2.8-6.0]","4.10000","2.80000","6.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_SUBSAHARANAFRICA","4.6 [3.8-5.4]","4.60000","3.80000","5.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_WESTERNAFR","3.4 [2.5-4.7]","3.40000","2.50000","4.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_LDC","2.8 [1.6-5.0]","2.80000","1.60000","5.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","5.1 [4.7-5.5]","5.10000","4.70000","5.50000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_OCEANIAexAUSNZL","3.9 [2.8-5.3]","3.90000","2.80000","5.30000","Consecutive Low Population Coverage"
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_AUSTRALIANEWZEALAND","5.5 [0.0-23.7]","5.50000","0.00000","23.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_CENTRALASIASOUTHERNASIA","2.7 [0.9-4.5]","2.70000","0.90000","4.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_CENTRALASIA","10.7 [5.1-21.3]","10.70000","5.10000","21.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_EASTERNAFR","5.1 [3.8-6.8]","5.10000","3.80000","6.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_NORTHERNAMR","6.2 [5.9-6.4]","6.20000","5.90000","6.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_NORTHAFR","7.8 [4.6-13.0]","7.80000","4.60000","13.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_LAC","6.4 [5.1-7.7]","6.40000","5.10000","7.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_CENTRALAMR","5.6 [4.2-7.5]","5.60000","4.20000","7.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_WESTERNASIA","6.4 [4.3-9.4]","6.40000","4.30000","9.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_SOUTHEASTERNASIA","2.5 [2.1-3.1]","2.50000","2.10000","3.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_MIDDLEAFR","4.2 [2.6-6.6]","4.20000","2.60000","6.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_CARIBBEAN","4.6 [4.0-5.3]","4.60000","4.00000","5.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_WESTERNASIANORTHERNAFR","7.1 [4.7-9.4]","7.10000","4.70000","9.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_EASTERNASIA","6.4 [5.8-7.0]","6.40000","5.80000","7.00000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_SOUTHERNAFR","9.6 [6.7-13.6]","9.60000","6.70000","13.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_SOUTHAMR","7.0 [5.3-9.0]","7.00000","5.30000","9.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","1995","","","","UNSDG_SOUTHASIA","2.4 [1.1-5.1]","2.40000","1.10000","5.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_CENTRALASIASOUTHERNASIA","2.7 [1.5-3.9]","2.70000","1.50000","3.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_WESTERNAFR","3.0 [2.3-4.0]","3.00000","2.30000","4.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","5.2 [4.8-5.7]","5.20000","4.80000","5.70000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_SOUTHASIA","2.4 [1.5-4.1]","2.40000","1.50000","4.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_SOUTHERNAFR","10.2 [7.1-14.4]","10.20000","7.10000","14.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_EASTERNASIA","6.4 [5.8-7.1]","6.40000","5.80000","7.10000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_LLDC","3.9 [2.8-5.4]","3.90000","2.80000","5.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_AUSTRALIANEWZEALAND","8.7 [0.0-22.4]","8.70000","0.00000","22.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_MIDDLEAFR","4.3 [2.9-6.4]","4.30000","2.90000","6.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_CENTRALAMR","5.9 [4.7-7.3]","5.90000","4.70000","7.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_EASTERNAFR","4.8 [3.7-6.2]","4.80000","3.70000","6.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_OCEANIAexAUSNZL","4.7 [3.3-6.5]","4.70000","3.30000","6.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_CARIBBEAN","5.1 [3.9-6.5]","5.10000","3.90000","6.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_LAC","6.6 [5.5-7.7]","6.60000","5.50000","7.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_WESTERNASIA","6.7 [4.9-9.2]","6.70000","4.90000","9.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_NORTHAFR","8.4 [4.8-14.4]","8.40000","4.80000","14.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_WESTERNASIANORTHERNAFR","7.5 [5.1-10.0]","7.50000","5.10000","10.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_SUBSAHARANAFRICA","4.3 [3.7-5.0]","4.30000","3.70000","5.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_CENTRALASIA","9.6 [5.9-15.2]","9.60000","5.90000","15.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_SOUTHAMR","7.1 [5.7-8.9]","7.10000","5.70000","8.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_LDC","2.8 [1.9-4.1]","2.80000","1.90000","4.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_SOUTHEASTERNASIA","3.2 [2.5-4.0]","3.20000","2.50000","4.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2000","","","","UNSDG_NORTHERNAMR","6.7 [6.4-6.9]","6.70000","6.40000","6.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_NORTHERNAMR","7.2 [6.9-7.5]","7.20000","6.90000","7.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_LDC","2.8 [2.2-3.5]","2.80000","2.20000","3.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_NORTHAFR","9.1 [5.0-15.9]","9.10000","5.00000","15.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_MIDDLEAFR","4.5 [3.2-6.4]","4.50000","3.20000","6.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_AUSTRALIANEWZEALAND","11.8 [1.3-22.3]","11.80000","1.30000","22.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_SOUTHASIA","2.5 [1.9-3.2]","2.50000","1.90000","3.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_SOUTHEASTERNASIA","4.0 [3.0-5.4]","4.00000","3.00000","5.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_EASTERNASIA","6.4 [5.7-7.1]","6.40000","5.70000","7.10000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_WESTERNAFR","2.7 [2.1-3.4]","2.70000","2.10000","3.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_SOUTHAMR","7.3 [6.1-8.8]","7.30000","6.10000","8.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_OCEANIAexAUSNZL","5.6 [3.9-8.1]","5.60000","3.90000","8.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_WESTERNASIA","7.1 [5.3-9.6]","7.10000","5.30000","9.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","5.5 [4.9-6.1]","5.50000","4.90000","6.10000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_SUBSAHARANAFRICA","4.1 [3.5-4.7]","4.10000","3.50000","4.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_CENTRALAMR","6.1 [5.2-7.2]","6.10000","5.20000","7.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_WESTERNASIANORTHERNAFR","8.1 [5.3-10.8]","8.10000","5.30000","10.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_CENTRALASIASOUTHERNASIA","2.7 [2.0-3.3]","2.70000","2.00000","3.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_SOUTHERNAFR","10.8 [7.5-15.3]","10.80000","7.50000","15.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_CARIBBEAN","5.5 [3.8-7.9]","5.50000","3.80000","7.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_EASTERNAFR","4.5 [3.5-5.6]","4.50000","3.50000","5.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_LLDC","3.6 [2.7-4.9]","3.60000","2.70000","4.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_LAC","6.8 [5.9-7.8]","6.80000","5.90000","7.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2005","","","","UNSDG_CENTRALASIA","8.5 [6.7-10.8]","8.50000","6.70000","10.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_LDC","2.8 [2.3-3.4]","2.80000","2.30000","3.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_CENTRALAMR","6.4 [5.6-7.3]","6.40000","5.60000","7.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_SOUTHEASTERNASIA","5.0 [3.4-7.3]","5.00000","3.40000","7.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_AUSTRALIANEWZEALAND","15.0 [5.0-25.0]","15.00000","5.00000","25.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_LLDC","3.4 [2.6-4.5]","3.40000","2.60000","4.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_NORTHAFR","9.8 [5.2-17.7]","9.80000","5.20000","17.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_CENTRALASIASOUTHERNASIA","2.7 [2.3-3.1]","2.70000","2.30000","3.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_WESTERNAFR","2.4 [1.9-3.0]","2.40000","1.90000","3.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_EASTERNAFR","4.2 [3.3-5.1]","4.20000","3.30000","5.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_MIDDLEAFR","4.7 [3.4-6.6]","4.70000","3.40000","6.60000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_CENTRALASIA","7.6 [6.3-9.2]","7.60000","6.30000","9.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_EASTERNASIA","6.4 [5.7-7.1]","6.40000","5.70000","7.10000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_WESTERNASIANORTHERNAFR","8.7 [5.4-11.9]","8.70000","5.40000","11.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_SOUTHASIA","2.5 [2.1-3.0]","2.50000","2.10000","3.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_CARIBBEAN","6.0 [3.8-9.5]","6.00000","3.80000","9.50000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_SOUTHAMR","7.5 [6.4-8.8]","7.50000","6.40000","8.80000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_NORTHERNAMR","7.8 [7.5-8.1]","7.80000","7.50000","8.10000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_LAC","7.1 [6.3-7.9]","7.10000","6.30000","7.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_SOUTHERNAFR","11.4 [7.9-16.3]","11.40000","7.90000","16.30000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_SUBSAHARANAFRICA","3.9 [3.4-4.4]","3.90000","3.40000","4.40000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","5.9 [5.0-6.7]","5.90000","5.00000","6.70000","excluding Japan"
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_OCEANIAexAUSNZL","6.8 [4.6-10.0]","6.80000","4.60000","10.00000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2010","","","","UNSDG_WESTERNASIA","7.6 [5.2-10.9]","7.60000","5.20000","10.90000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2012","","","","UNSDG_SOUTHERNAFR","11.7 [8.0-16.7]","11.70000","8.00000","16.70000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2012","","","","UNSDG_SOUTHEASTERNASIA","5.5 [3.6-8.2]","5.50000","3.60000","8.20000",""
"NUTOVERWEIGHTPREV","PUBLISHED","2012","","","","UNSDG_CENTRALASIASOUTHERNASIA","2.7 [2.1-3.2]","2.70000","2.10000","3.20000",""
