"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_HI","BRN","MLE","8.5 [2.0-19.9]","8.50000","2.00000","19.90000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","BFA","MLE","1.7 [0.5-4.2]","1.70000","0.50000","4.20000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","TCD","MLE","2.4 [0.8-5.1]","2.40000","0.80000","5.10000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LMI","CHN","MLE","4.6 [3.5-5.9]","4.60000","3.50000","5.90000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","HRV","MLE","22.8 [14.4-31.3]","22.80000","14.40000","31.30000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","CYP","MLE","24.8 [18.4-32.0]","24.80000","18.40000","32.00000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LMI","DJI","MLE","6.7 [1.3-16.2]","6.70000","1.30000","16.20000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_UMI","DOM","MLE","14.4 [8.1-22.8]","14.40000","8.10000","22.80000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_LMI","EGY","MLE","22.5 [16.5-28.3]","22.50000","16.50000","28.30000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","ETH","MLE","0.9 [0.3-1.8]","0.90000","0.30000","1.80000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","FIN","MLE","21.0 [16.8-25.0]","21.00000","16.80000","25.00000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","GRC","MLE","18.8 [13.0-24.7]","18.80000","13.00000","24.70000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_LMI","GTM","MLE","13.8 [8.2-21.1]","13.80000","8.20000","21.10000",""
"WHOSIS_000010","PUBLISHED","2008","AMR","WB_LMI","HND","MLE","12.9 [6.6-22.1]","12.90000","6.60000","22.10000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","ISL","MLE","23.4 [15.0-32.6]","23.40000","15.00000","32.60000",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LMI","IDN","MLE","2.5 [1.5-3.9]","2.50000","1.50000","3.90000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","ITA","MLE","19.3 [15.3-23.2]","19.30000","15.30000","23.20000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_HI","JPN","MLE","5.5 [4.4-6.7]","5.50000","4.40000","6.70000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LI","LAO","MLE","1.7 [0.5-3.9]","1.70000","0.50000","3.90000",""
"WHOSIS_000010","PUBLISHED","2008","EMR","WB_UMI","LBN","MLE","26.4 [22.8-29.9]","26.40000","22.80000","29.90000",""
"WHOSIS_000010","PUBLISHED","2008","EUR","WB_HI","LUX","MLE","24.5 [14.4-35.4]","24.50000","14.40000","35.40000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_LI","MWI","MLE","2.6 [1.7-3.8]","2.60000","1.70000","3.80000",""
"WHOSIS_000010","PUBLISHED","2008","SEAR","WB_LMI","MDV","MLE","6.5 [1.1-16.9]","6.50000","1.10000","16.90000",""
"WHOSIS_000010","PUBLISHED","2008","AFR","WB_UMI","MUS","MLE","12.9 [7.3-20.5]","12.90000","7.30000","20.50000",""
"WHOSIS_000010","PUBLISHED","2008","WPR","WB_LMI","FSM","MLE","30.9 [23.5-38.8]","30.90000","23.50000","38.80000",""
