"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2008","PUBLISHED","2008","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2009","PUBLISHED","2009","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2010","PUBLISHED","2010","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2011","PUBLISHED","2011","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2012","PUBLISHED","2012","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBOL1999","PUBLISHED","1999","AMR","BOL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBOL2000","PUBLISHED","2000","AMR","BOL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBOL2001","PUBLISHED","2001","AMR","BOL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBOL2002","PUBLISHED","2002","AMR","BOL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBRA2008","PUBLISHED","2008","AMR","BRA","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBWA1993","PUBLISHED","1993","AFR","BWA","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCAN1994","PUBLISHED","1994","AMR","CAN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCAN2000","PUBLISHED","2000","AMR","CAN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCAN2004","PUBLISHED","2004","AMR","CAN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCAN2007","PUBLISHED","2007","AMR","CAN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCAN2010","PUBLISHED","2010","AMR","CAN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHE2000","PUBLISHED","2000","EUR","CHE","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHE2002","PUBLISHED","2002","EUR","CHE","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHE2004","PUBLISHED","2004","EUR","CHE","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHL1997","PUBLISHED","1997","AMR","CHL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHL2006","PUBLISHED","2006","AMR","CHL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHN1995","PUBLISHED","1995","WPR","CHN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHN2000","PUBLISHED","2000","WPR","CHN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHN2002","PUBLISHED","2002","WPR","CHN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCHN2007","PUBLISHED","2007","WPR","CHN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCIV1998","PUBLISHED","1998","AFR","CIV","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCIV2002","PUBLISHED","2002","AFR","CIV","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCIV2008","PUBLISHED","2008","AFR","CIV","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCMR1996","PUBLISHED","1996","AFR","CMR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPCMR2001","PUBLISHED","2001","AFR","CMR","Yes","1.00000","","",""
