"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"vita","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200306","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200306","","29.6 [25.4-34.0]","30.00000","25.00000","34.00000",""
"vita","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200313","","25.8 [20.3-32.1]","26.00000","20.00000","32.00000",""
"vita","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","","","BFADHS200314","","35.0 [29.4-41.1]","35.00000","29.00000","41.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200603","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200604","","74.5 [62.5-83.7]","75.00000","62.00000","84.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200605","","46.8 [38.5-55.2]","47.00000","38.00000","55.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200612","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200612","","62.2 [55.9-68.1]","62.00000","56.00000","68.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AFR","BFA","","","","","BFAMICS200613","","55.3 [47.6-62.7]","55.00000","48.00000","63.00000",""
"vita","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201005","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201006","","38.9 [30.5-48.0]","39.00000","30.00000","48.00000",""
"vita","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201013","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","","","BFADHS201014","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","","BDIMICS200003","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","","BDIMICS200004","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2000","AFR","BDI","","","","","BDIMICS200005","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2005","AFR","BDI","","","","","BDIMICS200502","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","","BDIDHS201610","","59.4 [49.1-69.0]","59.00000","49.00000","69.00000",""
"vita","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","","BDIDHS201612","","60.1 [52.3-67.4]","60.00000","52.00000","67.00000",""
"vita","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","","BDIDHS201613","","73.7 [66.2-80.1]","74.00000","66.00000","80.00000",""
"vita","EQ_DHS","PUBLISHED","2016","AFR","BDI","","","","","BDIDHS201614","","81.7 [77.1-85.6]","82.00000","77.00000","86.00000",""
"vita","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","","KHMDHS200010","","10.0 [4.9-19.2]","10.00000","5.00000","19.00000",""
"vita","EQ_DHS","PUBLISHED","2000","WPR","KHM","","","","","KHMDHS200012","","64.6 [58.7-70.2]","65.00000","59.00000","70.00000",""
"vita","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200512","","27.1 [19.5-36.4]","27.00000","19.00000","36.00000",""
"vita","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200513","","49.5 [38.2-60.8]","50.00000","38.00000","61.00000",""
"vita","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200515","","53.9 [41.9-65.5]","54.00000","42.00000","66.00000",""
"vita","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200516","","13.9 [9.5-19.8]","14.00000","9.00000","20.00000",""
"vita","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201003","","74.9 [68.1-80.7]","75.00000","68.00000","81.00000",""
"vita","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201004","","72.6 [63.8-79.9]","73.00000","64.00000","80.00000",""
"vita","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201019","","37.4 [31.5-43.7]","37.00000","31.00000","44.00000",""
"vita","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201409","","69.6 [61.3-76.7]","70.00000","61.00000","77.00000",""
"vita","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201410","","77.9 [69.9-84.3]","78.00000","70.00000","84.00000",""
"vita","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201411","","73.4 [66.4-79.4]","73.00000","66.00000","79.00000",""
"vita","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201412","","67.0 [57.7-75.0]","67.00000","58.00000","75.00000",""
"vita","EQ_DHS","PUBLISHED","1991","AFR","CMR","","","","","CMRDHS199102","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","1998","AFR","CMR","","","","","CMRDHS199801","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","","","CMRDHS200405","","43.5 [38.6-48.6]","43.00000","39.00000","49.00000",""
"vita","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","","","CMRDHS200407","","12.3 [10.1-15.0]","12.00000","10.00000","15.00000",""
"vita","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","","","CMRDHS200408","","60.6 [54.1-66.8]","61.00000","54.00000","67.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AFR","CMR","","","","","CMRMICS200601","","37.5 [30.8-44.6]","37.00000","31.00000","45.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","","CMRDHS201107","","44.5 [38.9-50.3]","45.00000","39.00000","50.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","","CMRDHS201108","","53.8 [48.1-59.5]","54.00000","48.00000","59.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","","CMRDHS201109","","59.9 [53.3-66.1]","60.00000","53.00000","66.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","","CMRDHS201110","","33.3 [28.0-39.1]","33.00000","28.00000","39.00000",""
"vita","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","","","CMRDHS201111","","48.7 [41.2-56.3]","49.00000","41.00000","56.00000",""
"vita","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","","","CMRMICS201402","","38.1 [31.3-45.3]","38.00000","31.00000","45.00000",""
"vita","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","","","CMRMICS201403","","46.7 [41.7-51.7]","47.00000","42.00000","52.00000",""
"vita","EQ_DHS","PUBLISHED","2018","AFR","CMR","","","","","CMRDHS201811","","No data","","","","Not available."
"vita","EQ_DHS","PUBLISHED","2018","AFR","CMR","","","","","CMRDHS201812","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2000","AFR","CAF","","","","","CAFMICS200007","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2000","AFR","CAF","","","","","CAFMICS200008","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","","CAFMICS200601","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","","CAFMICS200607","","61.3 [55.1-67.2]","61.00000","55.00000","67.00000",""
"vita","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","","CAFMICS200608","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","","CAFMICS200609","","No data","","","","Not available."
"vita","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201004","","No data","","","","Not available."
