"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","MDG","","FMLE","","WQ3","53.3","0.53300","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","","FMLE","","WQ3","43.7","0.43700","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","COD","","FMLE","","WQ4","41.2","0.41200","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","AMR","GUY","","FMLE","","WQ4","74.5","0.74500","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","TZA","","FMLE","","WQ4","83.5","0.83500","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","","FMLE","","WQ5","35.4","0.35400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NER","","FMLE","","WQ5","20.4","0.20400","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","NGA","","FMLE","","WQ5","1.2","0.01200","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","SWZ","","FMLE","RUR","","0.3","0.00300","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","SLE","","FMLE","RUR","","31.8","0.31800","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","SEN","","FMLE","RUR","","14.4","0.14400","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","STP","","FMLE","RUR","","47.6","0.47600","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","CMR","","FMLE","RUR","","8.1","0.08100","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","WPR","KHM","","FMLE","RUR","","90.5","0.90500","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","WPR","KHM","","FMLE","RUR","","72.3","0.72300","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","BFA","","FMLE","RUR","","23.9","0.23900","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","MLI","YEARS6-11","FMLE","","","36.5","0.36500","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","MWI","YEARS6-11","FMLE","","","54.7","0.54700","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","MWI","YEARS6-11","FMLE","","","39.8","0.39800","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","KEN","YEARS6-11","FMLE","","","26.1","0.26100","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","RWA","YEARS12+","FMLE","","","42.7","0.42700","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","EMR","PAK","YEARS12+","FMLE","","","1.2","0.01200","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","NGA","YEARS12+","FMLE","","","5.7","0.05700","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","WPR","KHM","YEARS12+","FMLE","","","89.6","0.89600","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","BFA","YEARS12+","FMLE","","","36.9","0.36900","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ZWE","YEARS0-5","FMLE","","","38.8","0.38800","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","ZMB","YEARS0-5","FMLE","","","28.1","0.28100","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","ZMB","YEARS0-5","FMLE","","","11.1","0.11100","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","KEN","YEARS0-5","FMLE","","","20.2","0.20200","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","SEAR","IDN","YEARS0-5","FMLE","","","16.9","0.16900","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","GIN","YEARS0-5","FMLE","","","13.7","0.13700","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","MDG","","FMLE","","","48.4","0.48400","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","MWI","","FMLE","","","7.6","0.07600","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","MWI","","FMLE","","","20.9","0.20900","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","MWI","","FMLE","","","43.3","0.43300","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","BEN","","FMLE","URB","","59.4","0.59400","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","COG","","FMLE","URB","","72.6","0.72600","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","COD","","FMLE","URB","","30.5","0.30500","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ETH","","FMLE","URB","","4.5","0.04500","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","RWA","","FMLE","URB","","54.6","0.54600","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","STP","","FMLE","URB","","66.8","0.66800","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","TZA","","FMLE","URB","","74.7","0.74700","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","SEAR","TLS","","FMLE","URB","","51.8","0.51800","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MOZ","","FMLE","","WQ1","59.9","0.59900","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","NAM","","FMLE","","WQ1","10.1","0.10100","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ1","11.7","0.11700","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","EMR","PAK","","FMLE","","WQ1","2.2","0.02200","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","AMR","GUY","","FMLE","","WQ2","70.7","0.70700","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","SEAR","IDN","","FMLE","","WQ2","19.3","0.19300","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","KEN","","FMLE","","WQ2","23.7","0.23700","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","MWI","","FMLE","","WQ2","44.8","0.44800","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ZWE","","FMLE","","WQ2","44.4","0.44400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","BEN","","FMLE","","WQ3","64.7","0.64700","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","BFA","","FMLE","","WQ3","23.2","0.23200","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","WPR","KHM","","FMLE","","WQ3","97.6","0.97600","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","NGA","","FMLE","","WQ3","5.8","0.05800","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","STP","","FMLE","","WQ3","78.4","0.78400","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","SEN","","FMLE","","WQ3","12.8","0.12800","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","SLE","","FMLE","","WQ3","23.2","0.23200","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MDG","","FMLE","","WQ4","32.7","0.32700","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NER","YEARS6-11","FMLE","","","34.4","0.34400","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","RWA","YEARS6-11","FMLE","","","35.2","0.35200","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","RWA","YEARS6-11","FMLE","","","57.4","0.57400","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","MDG","","FMLE","","WQ4","56.7","0.56700","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","MWI","","FMLE","","WQ4","15.2","0.15200","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","MWI","","FMLE","","WQ4","49.4","0.49400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","BEN","","FMLE","","WQ5","77.9","0.77900","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","COD","","FMLE","","WQ5","45.8","0.45800","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ETH","","FMLE","","WQ5","2.3","0.02300","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","TZA","","FMLE","","WQ5","77.4","0.77400","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","UGA","","FMLE","","WQ5","35.7","0.35700","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","","FMLE","","WQ2","36.0","0.36000","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","GIN","","FMLE","","WQ3","15.0","0.15000","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","ZMB","","FMLE","","WQ3","34.0","0.34000","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","UGA","","FMLE","","WQ4","29.0","0.29000","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","","FMLE","","WQ5","2.0","0.02000","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MOZ","YEARS0-5","FMLE","","","64.9","0.64900","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","NAM","YEARS0-5","FMLE","","","3.6","0.03600","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NAM","YEARS0-5","FMLE","","","4.3","0.04300","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AMR","NIC","YEARS0-5","FMLE","","","35.4","0.35400","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","GHA","YEARS12+","FMLE","","","6.5","0.06500","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","KEN","YEARS12+","FMLE","","","59.1","0.59100","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MDG","YEARS12+","FMLE","","","38.1","0.38100","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","UGA","YEARS12+","FMLE","","","39.7","0.39700","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","UGA","YEARS12+","FMLE","","","55.1","0.55100","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","BEN","YEARS6-11","FMLE","","","72.4","0.72400","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","RWA","","FMLE","","WQ3","55.0","0.55000","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","CMR","","FMLE","","WQ4","14.0","0.14000","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","COG","","FMLE","","WQ4","78.0","0.78000","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","SLE","","FMLE","","WQ4","23.0","0.23000","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","STP","","FMLE","","WQ1","42.0","0.42000","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","KEN","","FMLE","","WQ3","30.0","0.30000","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MOZ","","FMLE","","WQ3","73.0","0.73000","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ZWE","","FMLE","","WQ4","29.0","0.29000","","",""
"EQ_SLEPTNETS","PUBLISHED","2000","AFR","MWI","","FMLE","","WQ5","34.0","0.34000","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","RWA","","FMLE","","WQ5","57.0","0.57000","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","RWA","","FMLE","","WQ5","64.0","0.64000","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","SEAR","TLS","","FMLE","","WQ5","44.0","0.44000","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","ETH","","FMLE","RUR","","1.9","0.01900","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","KEN","","FMLE","RUR","","11.3","0.11300","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MOZ","","FMLE","RUR","","64.4","0.64400","","",""
