"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"fps","EQ_MICS","PUBLISHED","2006","EMR","DJI","","","","","DJIMICS200602","","30.7 [24.7-37.4]","31.00000","25.00000","37.00000",""
"fps","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","","CODMICS201001","","49.6 [42.8-56.4]","50.00000","43.00000","56.00000",""
"fps","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201412","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2004","AFR","TCD","","","","","TCDDHS200409","","38.2 [31.5-45.4]","38.00000","31.00000","45.00000",""
"fps","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201107","","60.6 [55.5-65.5]","61.00000","55.00000","66.00000",""
"fps","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201108","","No data","","","","Not available."
"fps","EQ_MICS","PUBLISHED","2014","AFR","COG","","","","","COGMICS201407","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2000","AMR","COL","","","","","COLDHS200001","","89.2 [87.5-90.8]","89.00000","87.00000","91.00000",""
"fps","EQ_DHS","PUBLISHED","1994","AFR","CIV","","","","","CIVDHS199406","","16.3 [11.4-22.9]","16.00000","11.00000","23.00000",""
"fps","EQ_DHS","PUBLISHED","2007","AFR","COD","","","","","CODDHS200705","","34.8 [24.9-46.1]","35.00000","25.00000","46.00000",""
"fps","EQ_MICS","PUBLISHED","2010","AFR","COD","","","","","CODMICS201009","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2018","AFR","CMR","","","","","CMRDHS201803","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2014","WPR","KHM","","","","","KHMDHS201418","","70.1 [63.6-75.9]","70.00000","64.00000","76.00000",""
"fps","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200503","","51.3 [45.6-57.0]","51.00000","46.00000","57.00000",""
"fps","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","","","KHMDHS200511","","49.8 [42.3-57.4]","50.00000","42.00000","57.00000",""
"fps","EQ_MICS","PUBLISHED","2006","AFR","CAF","","","","","CAFMICS200610","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2010","WPR","KHM","","","","","KHMDHS201004","","77.7 [73.8-81.2]","78.00000","74.00000","81.00000",""
"fps","EQ_MICS","PUBLISHED","2014","AFR","CMR","","","","","CMRMICS201406","","83.4 [77.8-87.8]","83.00000","78.00000","88.00000",""
"fps","EQ_DHS","PUBLISHED","2018","AFR","CMR","","","","","CMRDHS201810","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","","TCDDHS199614","","33.5 [20.4-49.8]","34.00000","20.00000","50.00000",""
"fps","EQ_MICS","PUBLISHED","2000","AFR","TCD","","","","","TCDMICS200002","","No data","","","","Not available."
"fps","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201016","","21.1 [12.6-33.3]","21.00000","13.00000","33.00000",""
"fps","EQ_DHS","PUBLISHED","1996","AFR","TCD","","","","","TCDDHS199605","","No data","","","","Not reported - Estimate is based on fewer than 25 cases."
"fps","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201003","","13.0 [8.0-20.6]","13.00000","8.00000","21.00000",""
"fps","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","","","CAFMICS201007","","34.8 [25.9-44.8]","35.00000","26.00000","45.00000",""
"fps","EQ_DHS","PUBLISHED","2011","AFR","COG","","","","","COGDHS201103","","No data","","","","Not available."
"fps","EQ_DHS","PUBLISHED","2013","AFR","COD","","","","","CODDHS201301","","No data","","","","Not available."
