"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPLACE","Display Value","Numeric","Low","High","Comments"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EMR","OMN","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EMR","PAK","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EMR","TUN","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","LVA","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","ROU","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","RUS","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","RUS","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","MKD","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_SPORTING_EVENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_SPORTING_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_RELIGIOUS_PLACES","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","MNE","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_PUBLIC_TRANSPORT","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","ITA","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","MLT","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","PRT","SA_EDUCATIONAL_BUILDINGS","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_EDUCATIONAL_BUILDINGS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_EDUCATIONAL_BUILDINGS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","SEAR","MDV","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","MHL","SA_GOVERNMENT_OFFICES","","","","","missing data"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","SLB","SA_WORKPLACES","","","","","missing data"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","KIR","SA_RELIGIOUS_PLACES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","NIU","SA_LEISURE_EVENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","PHL","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_SPORTING_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","NZL","SA_GOVERNMENT_OFFICES","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_RELIGIOUS_PLACES","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","NIU","SA_WORKPLACES","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","AUS","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_GOVERNMENT_OFFICES","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","WPR","NZL","SA_LEISURE_EVENTS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","COM","","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","MUS","","ban","","","",""
