"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COMMUNITYACTIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001722","PUBLISHED","2016","AMR","ECU","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","GTM","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","GTM","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","EGY","SA_AT_RISK_GROUPS_TARGETED","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","IRN","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","GUY","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","GUY","SA_COMMUNITY_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","JAM","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","JAM","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","MEX","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","MEX","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","PRY","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","PRY","SA_RESEARCH_STUDIES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","AFG","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","AFG","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","EGY","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","LBN","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","LBN","SA_COMMUNITY_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","IRN","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","IRN","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","OMN","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","EMR","OMN","SA_PROVISION_INFORMATION","No","","","",""
