"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COORDINATINGENTITIES","Display Value","Numeric","Low","High","Comments"
"SA_0000001691","PUBLISHED","2016","EUR","AND","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","CHL","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","HRV","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","HRV","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","ARG","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","ARG","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AUT","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AUT","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AZE","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AZE","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","BHS","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BGD","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","KHM","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CPV","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CAF","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","CHL","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BGD","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BEN","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BEN","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","DZA","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","DZA","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AND","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BTN","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BTN","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BWA","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","BRA","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","BRA","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","KHM","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CYP","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CZE","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CIV","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CIV","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","EGY","OTHER_COORDINATING_ENTITY","Inter-Ministerial committee","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","EGY","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","GNQ","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","EST","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","FIN","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","FIN","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","GEO","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","GEO","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","DEU","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","GHA","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ISL","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ISL","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","IRL","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","IRL","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ISR","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ITA","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","JPN","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","JPN","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","LAO","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","LAO","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","LBN","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","LTU","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","LTU","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","LVA","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SMR","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","SGP","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","SGP","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","MWI","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","MWI","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","MYS","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","MEX","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","MEX","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","NLD","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","NLD","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","NER","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","NER","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","PRY","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","PRY","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","PHL","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","PHL","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","PRT","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","PRT","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SMR","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SVN","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","ZAF","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","ZAF","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","LKA","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","LKA","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SWE","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CHE","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MDA","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MDA","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","RUS","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","RUS","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","WSM","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SVK","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","TJK","OTHER_COORDINATING_ENTITY","Health and Social Welfare","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","TJK","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MKD","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MKD","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","USA","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","UZB","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","VUT","OTHER_COORDINATING_ENTITY","National Anti-Drug Committee","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","VUT","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","COK","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","COK","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MNE","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MNE","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","LTU","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CHE","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MKD","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","KAZ","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","NER","","Law enforcement","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","WSM","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","VUT","","National Anti-Drug Committee","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AND","","National Anti-Drug Committee","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AZE","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","MDG","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","ARG","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","COL","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CYP","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","AUS","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","BHS","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","BHS","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","BLR","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","BLR","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BTN","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BTN","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BWA","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","BRA","HEALTH","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","BGR","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","AUS","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","BGR","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AZE","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AZE","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CPV","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CPV","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CAF","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CAF","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","COL","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ALB","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ALB","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AND","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AND","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","AGO","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CYP","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CZE","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","CIV","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","DJI","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","DJI","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","GNQ","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","GNQ","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","EST","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","EST","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","FRA","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","FRA","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","DEU","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","DEU","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","GHA","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ISL","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","IDN","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","IDN","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ISR","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ISR","OTHER_COORDINATING_ENTITY","National Anti-Drug Committee","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ITA","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","JPN","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","LBN","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","LTU","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","MDG","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","MDG","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","KAZ","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","KAZ","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","LVA","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","LVA","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","WSM","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","SYC","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","SYC","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","MYS","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","MYS","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","MEX","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","NLD","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","NZL","EDUCATION","No","","","",""
