"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_KNHIV","EQ_MICS","PUBLISHED","2012","EUR","MDA","","FMLE","","WQ3","84.8","84.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2012","EUR","MDA","","FMLE","","WQ4","84.8","84.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2012","EUR","MDA","","FMLE","","WQ5","85.4","85.40000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","","","66.1","66.10000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","URB","","70.9","70.90000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","RUR","","59.0","59.00000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","EDLVL00TO05YR","FMLE","","","42.6","42.60000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","EDLVL06TO11YR","FMLE","","","70.0","70.00000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","EDLVL12PLUSYR","FMLE","","","77.8","77.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","","WQ1","62.0","62.00000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","","WQ2","69.4","69.40000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","","WQ3","75.0","75.00000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","","WQ4","72.9","72.90000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2005","WPR","MNG","","FMLE","","WQ5","75.0","75.00000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","","","72.5","72.50000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","URB","","77.5","77.50000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","RUR","","63.6","63.60000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","EDLVL00TO05YR","FMLE","","","46.7","46.70000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","EDLVL06TO11YR","FMLE","","","75.6","75.60000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","EDLVL12PLUSYR","FMLE","","","80.2","80.20000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","","WQ1","69.8","69.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","","WQ2","76.5","76.50000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2010","WPR","MNG","","FMLE","","WQ3","79.4","79.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","URB","","17.8","17.80000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","EDLVL06TO11YR","FMLE","","","88.6","88.60000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","EDLVL12PLUSYR","FMLE","","","89.2","89.20000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","","WQ1","64.4","64.40000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","","WQ2","74.3","74.30000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","","WQ3","78.1","78.10000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","","WQ4","84.9","84.90000","","",""
"EQ_KNHIV","EQ_MICS","PUBLISHED","2008","AFR","MOZ","","FMLE","","WQ5","88.6","88.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","","","51.7","51.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","URB","","62.1","62.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","RUR","","46.1","46.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","EDLVL00TO05YR","FMLE","","","56.0","56.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","EDLVL06TO11YR","FMLE","","","64.6","64.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","EDLVL12PLUSYR","FMLE","","","77.3","77.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","","WQ1","56.8","56.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","","WQ2","58.4","58.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","","WQ3","61.8","61.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","","WQ4","65.3","65.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2011","AFR","MOZ","","FMLE","","WQ5","73.9","73.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","","","72.3","72.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","URB","","76.5","76.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","RUR","","69.1","69.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","EDLVL00TO05YR","FMLE","","","68.8","68.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","EDLVL06TO11YR","FMLE","","","76.5","76.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","EDLVL12PLUSYR","FMLE","","","79.9","79.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","AFR","NAM","","FMLE","","WQ1","74.8","74.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","RUR","","5.5","5.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","EDLVL00TO05YR","FMLE","","","8.1","8.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","EDLVL06TO11YR","FMLE","","","36.3","36.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","EDLVL12PLUSYR","FMLE","","","58.6","58.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","","WQ1","10.3","10.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","","WQ2","9.0","9.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","","WQ3","16.9","16.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","","WQ4","21.6","21.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","1997","AFR","MOZ","","FMLE","","WQ5","39.3","39.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","","","66.5","66.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","URB","","72.8","72.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","","FMLE","RUR","","61.8","61.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","EDLVL00TO05YR","FMLE","","","68.0","68.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2003","AFR","MOZ","EDLVL06TO11YR","FMLE","","","78.7","78.70000","","",""
