"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_30_SAN","PUBLISHED","2016","AMR","GRD","YEARSALL","FMLE","INADEQUATE_SANITATION","13","12.59046","","",""
"WSH_30_SAN","PUBLISHED","2016","AMR","GTM","YEARSALL","MLE","INADEQUATE_SANITATION","13 091","13091.26473","","",""
"WSH_30_SAN","PUBLISHED","2016","EMR","IRQ","YEARSALL","BTSX","INADEQUATE_SANITATION","15 498","15498.34857","","",""
"WSH_30_SAN","PUBLISHED","2016","EUR","KAZ","YEARSALL","MLE","INADEQUATE_SANITATION","161","160.69943","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","LBR","YEARSALL","BTSX","INADEQUATE_SANITATION","63 365","63364.84307","","",""
"WSH_30_SAN","PUBLISHED","2016","EMR","LBY","YEARSALL","FMLE","INADEQUATE_SANITATION","65","64.85304","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","MDG","YEARSALL","FMLE","INADEQUATE_SANITATION","133 832","133832.34870","","",""
"WSH_30_SAN","PUBLISHED","2016","SEAR","MDV","YEARSALL","MLE","INADEQUATE_SANITATION","7","6.54434","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","MRT","YEARSALL","BTSX","INADEQUATE_SANITATION","49 392","49391.86871","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","MUS","YEARSALL","FMLE","INADEQUATE_SANITATION","45","45.37344","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","NGA","YEARSALL","FMLE","INADEQUATE_SANITATION","1 888 524","1888524.37200","","",""
"WSH_30_SAN","PUBLISHED","2016","AMR","NIC","YEARSALL","MLE","INADEQUATE_SANITATION","2030","2029.95058","","",""
"WSH_30_SAN","PUBLISHED","2016","AMR","PER","YEARSALL","BTSX","INADEQUATE_SANITATION","15 828","15828.48093","","",""
"WSH_30_SAN","PUBLISHED","2016","WPR","PHL","YEARSALL","FMLE","INADEQUATE_SANITATION","44 427","44427.07252","","",""
"WSH_30_SAN","PUBLISHED","2016","SEAR","PRK","YEARSALL","BTSX","INADEQUATE_SANITATION","11 999","11999.43013","","",""
"WSH_30_SAN","PUBLISHED","2016","AMR","PRY","YEARSALL","MLE","INADEQUATE_SANITATION","1148","1148.46237","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","RWA","YEARSALL","FMLE","INADEQUATE_SANITATION","26 448","26448.47052","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","SLE","YEARSALL","MLE","INADEQUATE_SANITATION","112 203","112203.31610","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","SLE","YEARSALL","BTSX","INADEQUATE_SANITATION","208 100","208100.15280","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","SSD","YEARSALL","BTSX","INADEQUATE_SANITATION","268 910","268910.01630","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","STP","YEARSALL","FMLE","INADEQUATE_SANITATION","436","435.53997","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","SWZ","YEARSALL","FMLE","INADEQUATE_SANITATION","5341","5340.60791","","",""
"WSH_30_SAN","PUBLISHED","2016","EUR","TJK","YEARSALL","MLE","INADEQUATE_SANITATION","1169","1168.72598","","",""
"WSH_30_SAN","PUBLISHED","2016","EUR","TJK","YEARSALL","BTSX","INADEQUATE_SANITATION","2111","2111.45672","","",""
"WSH_30_SAN","PUBLISHED","2016","EMR","TUN","YEARSALL","BTSX","INADEQUATE_SANITATION","739","738.84355","","",""
"WSH_30_SAN","PUBLISHED","2016","EUR","TUR","YEARSALL","FMLE","INADEQUATE_SANITATION","1389","1388.69970","","",""
"WSH_30_SAN","PUBLISHED","2016","EUR","UKR","YEARSALL","BTSX","INADEQUATE_SANITATION","1101","1101.41945","","",""
"WSH_30_SAN","PUBLISHED","2016","WPR","VNM","YEARSALL","FMLE","INADEQUATE_SANITATION","11 980","11980.06641","","",""
"WSH_30_SAN","PUBLISHED","2016","WPR","VUT","YEARSALL","MLE","INADEQUATE_SANITATION","625","624.87090","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","ZWE","YEARSALL","MLE","INADEQUATE_SANITATION","69 320","69320.16045","","",""
"WSH_30_SAN","PUBLISHED","2016","AFR","ZWE","YEARSALL","BTSX","INADEQUATE_SANITATION","129 862","129862.18030","","",""
