"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_1_prev_adult","PUBLISHED","AFR","ERI","BTSX","8.0","8.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","GHA","MLE","8.2","8.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","ZAF","FMLE","8.2","8.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","OMN","BTSX","8.6","8.60000","","","Only Omanis were surveyed."
"M_def_1_prev_adult","PUBLISHED","AMR","BOL","FMLE","9.1","9.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","BDI","FMLE","10.2","10.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","BFA","BTSX","11.3","11.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","GTM","BTSX","11.4","11.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","BEN","MLE","12.1","12.10000","","","Smoked tobacco and smokeless tobacco"
"M_def_1_prev_adult","PUBLISHED","AFR","COM","BTSX","12.9","12.90000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","SWZ","MLE","12.9","12.90000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","PER","BTSX","13.3","13.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","HTI","MLE","13.6","13.60000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","SEN","MLE","14.3","14.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","VEN","FMLE","14.4","14.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BOL","BTSX","14.8","14.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","GMB","BTSX","15.6","15.60000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","AUS","BTSX","15.8","15.80000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","RUS","FMLE","16.1","16.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","HUN","FMLE","16.2","16.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","GBR","FMLE","16.8","16.80000","","","Data representative of Great Britain only."
"M_def_1_prev_adult","PUBLISHED","AMR","BLZ","MLE","17.7","17.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","MWI","MLE","18.0","18.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","MAR","BTSX","18.0","18.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","CAN","MLE","18.4","18.40000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","NZL","MLE","18.4","18.40000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","BHR","BTSX","19.9","19.90000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","SWE","FMLE","20.0","20.00000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","PRK","BTSX","20.1","20.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","QAT","MLE","20.2","20.20000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","VUT","FMLE","20.2","20.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","HUN","BTSX","20.5","20.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","DNK","BTSX","21.0","21.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","LUX","BTSX","21.0","21.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","TTO","BTSX","21.1","21.10000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","MMR","BTSX","22.0","22.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","MKD","BTSX","22.1","22.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","SWE","MLE","23.0","23.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","SAU","MLE","23.7","23.70000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","LUX","MLE","24.0","24.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","PLW","MLE","24.0","24.00000","","",""
