"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","Display Value","Numeric","Low","High","Comments"
"MALARIA_15049","PUBLISHED","2001","AMR","BLZ","","1097","1097.00000","","",""
"MALARIA_15049","PUBLISHED","2001","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","2002","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","2002","AFR","DZA","","307","307.00000","","",""
"MALARIA_15049","PUBLISHED","2002","AFR","AGO","AGE0-4","484754","484754.00000","","",""
"MALARIA_15049","PUBLISHED","2002","EUR","AUT","","65","65.00000","","",""
"MALARIA_15049","PUBLISHED","2002","EMR","BHR","","45","45.00000","","",""
"MALARIA_15049","PUBLISHED","2002","EUR","BLR","","15","15.00000","","",""
"MALARIA_15049","PUBLISHED","2002","EUR","BEL","","299","299.00000","","",""
"MALARIA_15049","PUBLISHED","2002","AMR","BLZ","","928","928.00000","","",""
"MALARIA_15049","PUBLISHED","2003","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","2003","EMR","BHR","","87","87.00000","","",""
"MALARIA_15049","PUBLISHED","2003","SEAR","BGD","AGE0-4","9669","9669.00000","","",""
"MALARIA_15049","PUBLISHED","2004","AMR","BLZ","","1057","1057.00000","","",""
"MALARIA_15049","PUBLISHED","2007","EUR","ARM","","1","1.00000","","",""
"MALARIA_15049","PUBLISHED","2007","EUR","AZE","","110","110.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","BRA","","560396","560396.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","BGR","","40","40.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","BFA","","496513","496513.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","BDI","","92870","92870.00000","","",""
"MALARIA_15049","PUBLISHED","1990","WPR","KHM","","123796","123796.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","CMR","","869048","869048.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","CPV","","69","69.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","CAF","","174436","174436.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","TCD","","212554","212554.00000","","",""
"MALARIA_15049","PUBLISHED","1990","WPR","CHN","","117359","117359.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","COL","","99489","99489.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","COG","","32428","32428.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","CRI","","1151","1151.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","HRV","","14","14.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","CZE","","6","6.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","CIV","","511916","511916.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","DNK","","119","119.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EMR","DJI","","3237","3237.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","DOM","","356","356.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","ECU","","71670","71670.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EMR","EGY","","75","75.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","SLV","","9269","9269.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","GNQ","","25552","25552.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","EST","","5","5.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","BRA","","614431","614431.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","BGR","","50","50.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","BFA","","448917","448917.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","BDI","","568938","568938.00000","","",""
"MALARIA_15049","PUBLISHED","1991","WPR","KHM","","102930","102930.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","CMR","","787796","787796.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","CPV","","80","80.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","CAF","","125038","125038.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","TCD","","246410","246410.00000","","",""
"MALARIA_15049","PUBLISHED","1991","WPR","CHN","","101600","101600.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","COL","","184156","184156.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","COG","","32391","32391.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","CRI","","3273","3273.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","HRV","","14","14.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","CZE","","5","5.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","CIV","","466895","466895.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","DNK","","110","110.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EMR","DJI","","7338","7338.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","DOM","","377","377.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","ECU","","59400","59400.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EMR","EGY","","24","24.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","SLV","","5933","5933.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","GNQ","","22598","22598.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","EST","","8","8.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","BRA","","609860","609860.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","BGR","","37","37.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","BFA","","420186","420186.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","BDI","","773539","773539.00000","","",""
"MALARIA_15049","PUBLISHED","1992","WPR","KHM","","91000","91000.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","CMR","","664413","664413.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","CPV","","38","38.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","CAF","","89930","89930.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","TCD","","229444","229444.00000","","",""
"MALARIA_15049","PUBLISHED","1992","WPR","CHN","","74000","74000.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","COL","","184023","184023.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","COG","","21121","21121.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","CRI","","6951","6951.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","HRV","","7","7.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","CZE","","8","8.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","CIV","","553875","553875.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","DNK","","110","110.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EMR","DJI","","7468","7468.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","DOM","","698","698.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","ECU","","41089","41089.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EMR","EGY","","16","16.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","SLV","","4539","4539.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","GNQ","","25100","25100.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","EST","","3","3.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","ETH","","206262","206262.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","BRA","","466190","466190.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","BGR","","41","41.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","BFA","","502275","502275.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","BDI","","828429","828429.00000","","",""
"MALARIA_15049","PUBLISHED","1993","WPR","KHM","","99200","99200.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","CMR","","478693","478693.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","CPV","","44","44.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","CAF","","82072","82072.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","TCD","","234869","234869.00000","","",""
"MALARIA_15049","PUBLISHED","1993","WPR","CHN","","59000","59000.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","COL","","129377","129377.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","COM","","12012","12012.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","COG","","15504","15504.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","CRI","","5033","5033.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","HRV","","14","14.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","CZE","","7","7.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","CIV","","421043","421043.00000","","",""
