"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","EMFRADIOBAND","Display Value","Numeric","Low","High","Comments"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","SAU","EMFPUBLIC","EMFRADIO","EMFFREQ1800","58.34","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CHE","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","averaged over 6 minutes"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FIN","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FRA","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FRA","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GBR","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GBR","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GRC","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CHE","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","averaged over 6 minutes"
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","CHL","EMFWORKER","EMFRADIO","EMFFREQ0900","","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","ARG","EMFWORKER","EMFRADIO","EMFFREQ0900","106.35","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","ARG","EMFWORKER","EMFRADIO","EMFFREQ1800","150.4","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","AUS","EMFWORKER","EMFRADIO","EMFFREQ0900","92.1","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","AUT","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","AUT","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BEL","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BEL","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","CHL","EMFWORKER","EMFRADIO","EMFFREQ1800","","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CYP","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","CYP","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","DEU","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","DEU","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","FIN","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","AUS","EMFWORKER","EMFRADIO","EMFFREQ1800","130","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BGR","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","BGR","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","BHR","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","BHR","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","BRA","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","BRA","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","CAN","EMFWORKER","EMFRADIO","EMFFREQ0900","85.44","","","","The formula for calculating E-field reference levels at frequencies between 100 MHz and 6 GHz is 15.60 f (exp 0.25) - where f is the frequency in MHz."
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","CAN","EMFWORKER","EMFRADIO","EMFFREQ1800","101.61","","","","The formula for calculating E-field reference levels at frequencies between 100 MHz and 6 GHz is 15.60 f (exp 0.25) - where f is the frequency in MHz."
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","GRC","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","USA","EMFWORKER","EMFRADIO","EMFFREQ0900","106","","","","US Federal Communication Commission (1996) limit values based on National Council on Radiation Protection and Measurements (NCRP) Report No. 86. Averaging time of 6 minutes. "
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","USA","EMFWORKER","EMFRADIO","EMFFREQ1800","137","","","","US Federal Communication Commission (1996) limit values based on National Council on Radiation Protection and Measurements (NCRP) Report No. 86. Averaging time of 6 minutes. "
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZAF","EMFWORKER","EMFRADIO","EMFFREQ0900","[90]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZAF","EMFWORKER","EMFRADIO","EMFFREQ1800","[127.3]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZMB","EMFWORKER","EMFRADIO","EMFFREQ0900","[92.1]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AFR","ZMB","EMFWORKER","EMFRADIO","EMFFREQ1800","[130.5]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","IRN","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","IRN","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ISR","EMFWORKER","EMFRADIO","EMFFREQ0900","92","","","","According to the American Conference of Governmental Industrial Hygienists (ACGIH) threshold limit value (TLV)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ISR","EMFWORKER","EMFRADIO","EMFFREQ1800","130","","","","According to the American Conference of Governmental Industrial Hygienists (ACGIH) threshold limit value (TLV)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ITA","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","ITA","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","KOR","EMFWORKER","EMFRADIO","EMFFREQ0900","[90]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","KOR","EMFWORKER","EMFRADIO","EMFFREQ1800","[127.2]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","MYS","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","MYS","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NLD","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NLD","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NOR","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","NOR","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","NZL","EMFWORKER","EMFRADIO","EMFFREQ0900","[90]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","NZL","EMFWORKER","EMFRADIO","EMFFREQ1800","[127.3]","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","PER","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","AMR","PER","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","PHL","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","WPR","PHL","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","SAU","EMFWORKER","EMFRADIO","EMFFREQ0900","92.1","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EMR","SAU","EMFWORKER","EMFRADIO","EMFFREQ1800","130.3","","","",""
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","SWE","EMFWORKER","EMFRADIO","EMFFREQ0900","90","","","","(DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICRF","PUBLISHED","2017","EUR","SWE","EMFWORKER","EMFRADIO","EMFFREQ1800","127.3","","","","(DIRECTIVE 2013/35/EU)"
