"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PENALTYTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CAF","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","CAF","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","CHL","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","CHL","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","CHL","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","COL","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","COL","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","COM","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","COM","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","COM","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","COM","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","COG","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","FIN","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","FRA","SA_IGNITION_INTERLOCKS","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","FRA","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GAB","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GAB","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","GEO","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","GEO","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","GEO","SA_VEHICLE_IMPOUNDED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GHA","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GHA","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_DETENTION_SHORT_LONG_TERM","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GIN","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","GUY","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","HUN","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","HUN","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","ISL","SA_DETENTION_SHORT_LONG_TERM","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","ISL","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","SEAR","IDN","SA_DETENTION_SHORT_LONG_TERM","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EMR","IRN","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EMR","IRN","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EMR","IRQ","SA_LICENSE_SUSPENDED_REVOKED","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","IRL","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","ISR","SA_FINES","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","JAM","SA_IGNITION_INTERLOCKS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","JAM","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AMR","JAM","SA_PENALTY_POINTS","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EMR","JOR","SA_LICENSE_SUSPENDED_REVOKED","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EMR","JOR","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_MANDATORY_TREATMENT_EDUCATION_COUNSELLING","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","LAO","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","WPR","LAO","SA_PENALTY_POINTS","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","LVA","SA_DETENTION_SHORT_LONG_TERM","Yes","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","EUR","LVA","SA_VEHICLE_IMPOUNDED","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","LSO","SA_COMMUNITY_PUBLIC_SERVICE","No","","","",""
"SA_0000001726_ARCHIVED","PUBLISHED","2012","AFR","LSO","SA_VEHICLE_IMPOUNDED","Yes","","","",""
