"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","INADEQUACY","Display Value","Numeric","Low","High","Comments"
"WSH_10_WAT","PUBLISHED","2016","AFR","GHA","YEARSALL","BTSX","INADEQUATE_WATER","2762","2761.82255","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","GTM","YEARSALL","FMLE","INADEQUATE_WATER","280","279.82885","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","MRT","YEARSALL","BTSX","INADEQUATE_WATER","978","978.06458","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","NGA","YEARSALL","FMLE","INADEQUATE_WATER","34800","34799.87796","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","VEN","YEARSALL","FMLE","INADEQUATE_WATER","149","148.61650","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","ZMB","YEARSALL","MLE","INADEQUATE_WATER","1614","1613.54527","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","ALB","YEARSALL","MLE","INADEQUATE_WATER","2","2.32836","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","BEN","YEARSALL","MLE","INADEQUATE_WATER","1912","1911.57205","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","GTM","YEARSALL","MLE","INADEQUATE_WATER","298","297.97728","","",""
"WSH_10_WAT","PUBLISHED","2016","SEAR","IND","YEARSALL","BTSX","INADEQUATE_WATER","140045","140045.19260","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","PER","YEARSALL","BTSX","INADEQUATE_WATER","118","117.56654","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","RUS","YEARSALL","FMLE","INADEQUATE_WATER","52","52.42513","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","BGR","YEARSALL","MLE","INADEQUATE_WATER","3","2.63210","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","DZA","YEARSALL","FMLE","INADEQUATE_WATER","293","293.33736","","",""
"WSH_10_WAT","PUBLISHED","2016","AMR","HTI","YEARSALL","MLE","INADEQUATE_WATER","865","865.13204","","",""
"WSH_10_WAT","PUBLISHED","2016","EUR","MNE","YEARSALL","BTSX","INADEQUATE_WATER","0","0.11318","","",""
"WSH_10_WAT","PUBLISHED","2016","SEAR","PRK","YEARSALL","FMLE","INADEQUATE_WATER","32","32.22188","","",""
"WSH_10_WAT","PUBLISHED","2016","SEAR","TLS","YEARSALL","BTSX","INADEQUATE_WATER","29","29.09978","","",""
"WSH_10_WAT","PUBLISHED","2016","AFR","CIV","YEARSALL","MLE","INADEQUATE_WATER","3256","3255.76431","","",""
