"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","EMR","JOR","","WQ3","107.2","107.20000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","EMR","JOR","","WQ4","116.9","116.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2012","EMR","JOR","","WQ5","108.8","108.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1995","EUR","KAZ","","","65.3","65.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1995","EUR","KAZ","URB","","51.3","51.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1999","EUR","KAZ","","WQ4","39.8","39.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1999","EUR","KAZ","","WQ5","22.6","22.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1993","AFR","KEN","","","117.9","117.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1993","AFR","KEN","URB","","92.1","92.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","AFR","KEN","","WQ5","22.0","22.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2003","AFR","KEN","","","116.1","116.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2003","AFR","KEN","URB","","87.1","87.10000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","WPR","LAO","","","263.0","263.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","WPR","LAO","URB","","198.0","198.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","WPR","LAO","RUR","","276.0","276.00000","","",""
"EQ_ADOBIRTH","EQ_MICS","PUBLISHED","2011","WPR","LAO","","WQ1","173.0","173.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2004","AFR","LSO","URB","","48.8","48.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2004","AFR","LSO","RUR","","98.8","98.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2004","AFR","LSO","","WQ1","74.3","74.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2004","AFR","LSO","","WQ2","66.4","66.40000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1995","AFR","MLI","","","197.6","197.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2001","AFR","MLI","","WQ4","133.1","133.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2001","AFR","MLI","","WQ5","50.5","50.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2006","AFR","MLI","","","189.5","189.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2006","AFR","MLI","URB","","142.3","142.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","AFR","LBR","RUR","","175.2","175.20000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","AFR","LBR","","WQ1","154.6","154.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","AFR","LBR","","WQ2","136.1","136.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2007","AFR","LBR","","WQ3","122.8","122.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AFR","MWI","","WQ2","160.9","160.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AFR","MWI","","WQ3","123.0","123.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AFR","MWI","","WQ4","114.3","114.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2000","AFR","MWI","","WQ5","55.8","55.80000","","",""
