"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_WESTERNASIANORTHERNAFR","40.14","40.14290","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","UN_Africa","","","","76.80","76.80480","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","UN_Asia","","","","508.78","508.77710","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","UN_Europe","","","","46.92","46.92080","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","UN_Latin America_Caribbean","","","","87.09","87.08840","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","UN_Northern_America","","","","17.42","17.41570","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","UN_Oceania","","","","1.05","1.04950","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","WB_HI","","","60.47","60.46560","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","WB_LI","","","288.27","288.26630","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","WB_LMI","","","351.21","351.20630","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","WB_UMI","","","37.49","37.49360","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","WB_EAP","","269.99","269.98620","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","WB_ECA","","55.75","55.75260","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","WB_LAC","","87.09","87.08840","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","WB_MNA","","38.00","38.00240","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","WB_NAR","","17.41","17.41340","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","WB_SAR","","213.80","213.79990","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2005","","","","WB_SSA","","56.01","56.01340","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","AFR","","","","","39.79","39.78540","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","AMR","","","","","75.31","75.30630","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","EMR","","","","","38.07","38.06540","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","EUR","","","","","54.35","54.35320","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","570.45","570.45310","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","SEAR","","","","","180.10","180.10350","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","WPR","","","","","181.75","181.74880","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_CENTRALASIASOUTHERNASIA","188.20","188.19700","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","193.66","193.65830","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_EUROPE","44.13","44.12650","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_LAC","58.41","58.40710","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_NORTHERNAMR","17.22","17.21600","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_OCEANIA","0.99","0.99170","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_SUBSAHARANAFRICA","38.48","38.48390","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","","UNSDG_WESTERNASIANORTHERNAFR","29.37","29.37260","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","UN_Africa","","","","53.88","53.87890","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","UN_Asia","","","","395.83","395.83290","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","UN_Europe","","","","44.13","44.12650","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","UN_Latin America_Caribbean","","","","58.41","58.40710","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","UN_Northern_America","","","","17.22","17.21600","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","UN_Oceania","","","","0.99","0.99170","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","WB_HI","","","46.22","46.22480","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","WB_LI","","","252.20","252.19970","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","WB_LMI","","","204.59","204.58590","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","WB_UMI","","","66.33","66.33250","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","WB_EAP","","194.65","194.65000","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","WB_ECA","","53.95","53.95140","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","WB_LAC","","58.41","58.40710","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","WB_MNA","","26.90","26.89690","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","WB_NAR","","17.21","17.21390","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","WB_SAR","","178.08","178.08270","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2000","","","","WB_SSA","","41.25","41.25110","","",""
