"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","","WQ4","59.0","59.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","","WQ5","53.0","53.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","","","39.0","39.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","URB","","40.0","40.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","RUR","","38.0","38.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","","WQ1","57.0","57.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","","WQ2","37.0","37.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","","WQ3","51.0","51.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","","WQ4","41.0","41.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","COG","","WQ5","35.0","35.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","","","92.0","92.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","URB","","72.0","72.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","RUR","","104.0","104.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","","WQ1","84.0","84.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","","WQ2","84.0","84.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","","WQ3","63.0","63.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","","WQ4","67.0","67.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2007","AFR","COD","","WQ5","61.0","61.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","","","96.9","96.90000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","URB","","70.8","70.80000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","RUR","","105.3","105.30000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","","WQ1","94.7","94.70000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","","WQ2","84.9","84.90000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","","WQ3","68.6","68.60000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","","WQ4","52.4","52.40000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","","WQ4","18.0","18.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2010","AMR","COL","","WQ5","12.0","12.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","","","77.0","77.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","URB","","57.0","57.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","RUR","","84.0","84.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","","WQ1","74.0","74.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","","WQ2","70.0","70.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","","WQ3","29.0","29.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","","WQ4","73.0","73.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AFR","COM","","WQ5","66.0","66.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","","","36.0","36.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","URB","","23.0","23.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","RUR","","41.0","41.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","","WQ1","28.0","28.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","","WQ2","17.0","17.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","","WQ3","31.0","31.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","","WQ4","10.0","10.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2012","AFR","COM","","WQ5","15.0","15.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","","","75.0","75.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","URB","","55.0","55.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","RUR","","93.0","93.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","","WQ1","73.0","73.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","","WQ2","68.0","68.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2005","AFR","COG","","WQ3","79.0","79.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AFR","COD","","WQ5","47.2","47.20000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1998","AFR","CIV","","WQ3","77.0","77.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1998","AFR","CIV","","WQ4","83.0","83.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1998","AFR","CIV","","WQ5","50.0","50.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","","","68.0","68.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","URB","","61.0","61.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","RUR","","72.0","72.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","","WQ1","83.0","83.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","","WQ2","67.0","67.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","","WQ3","58.0","58.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","","WQ4","73.0","73.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2011","AFR","CIV","","WQ5","32.0","32.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2006","EMR","DJI","","","63.6","63.60000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2006","EMR","DJI","URB","","64.2","64.20000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2006","EMR","DJI","RUR","","47.8","47.80000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","","","47.0","47.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","URB","","42.0","42.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","RUR","","54.0","54.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","","WQ1","79.0","79.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","","WQ2","57.0","57.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","","WQ3","36.0","36.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","","WQ4","24.0","24.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1996","AMR","DOM","","WQ5","28.0","28.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1999","AMR","DOM","","","22.0","22.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1999","AMR","DOM","URB","","18.0","18.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","1999","AMR","DOM","RUR","","29.0","29.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","","","58.0","58.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","URB","","53.0","53.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","RUR","","61.0","61.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","","WQ1","61.0","61.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","","WQ2","80.0","80.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","","WQ3","60.0","60.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","","WQ4","49.0","49.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2013","AFR","COD","","WQ5","39.0","39.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AMR","CUB","","","7.9","7.90000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AMR","CUB","URB","","9.2","9.20000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","AMR","CUB","RUR","","4.6","4.60000","","",""
