"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","WB_MNA","","2.20","2.20079","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","WB_NAR","","0.76","0.76314","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","WB_SAR","","3.03","3.03181","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","WB_SSA","","1.80","1.80022","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","AFR","","","","","1.51","1.51250","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","AMR","","","","","1.98","1.98304","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","EMR","","","","","1.28","1.27693","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","EUR","","","","","1.03","1.03126","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","2.49","2.49060","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","SEAR","","","","","2.97","2.96587","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","WPR","","","","","3.83","3.82958","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_CENTRALASIASOUTHERNASIA","3.14","3.14397","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","3.28","3.27610","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_EUROPE","0.96","0.96320","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_LAC","2.61","2.60966","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_NORTHERNAMR","0.91","0.91280","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_OCEANIA","0.41","0.40898","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_SUBSAHARANAFRICA","1.54","1.53668","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","","UNSDG_WESTERNASIANORTHERNAFR","1.54","1.53639","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","UN_Africa","","","","1.53","1.53196","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","UN_Asia","","","","3.13","3.13219","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","UN_Europe","","","","0.96","0.96320","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","UN_Latin America_Caribbean","","","","2.61","2.60966","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","UN_Northern_America","","","","0.91","0.91280","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","UN_Oceania","","","","0.41","0.40898","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","WB_HI","","","1.02","1.01739","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","WB_LI","","","2.73","2.73432","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","WB_LMI","","","3.18","3.17787","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","WB_UMI","","","1.15","1.15068","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","WB_EAP","","3.23","3.23006","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","WB_ECA","","1.03","1.03060","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","WB_LAC","","2.61","2.60966","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","WB_MNA","","1.76","1.75510","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","WB_NAR","","0.91","0.91284","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","WB_SAR","","3.22","3.21881","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2005","","","","WB_SSA","","1.59","1.58721","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","AFR","","","","","1.15","1.15058","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","AMR","","","","","1.54","1.54459","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2000","EMR","","","","","1.06","1.06493","","",""
