"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"AIR_51","PUBLISHED","2016","AMR","ARG","FMLE","ENVCAUSE068","0 [0–1]","0.30921","0.00992","1.06362",""
"AIR_51","PUBLISHED","2016","AMR","ARG","FMLE","ENVCAUSE118","1 [0–3]","0.88944","0.02934","3.05456",""
"AIR_51","PUBLISHED","2016","AMR","ARG","FMLE","ENVCAUSE000","4 [0–12]","3.71877","0.12002","12.15575",""
"AIR_51","PUBLISHED","2016","AMR","ARG","MLE","ENVCAUSE113","1 [0–2]","0.71044","0.02361","2.40335",""
"AIR_51","PUBLISHED","2016","AMR","ARG","MLE","ENVCAUSE068","0 [0–2]","0.46585","0.01550","1.56145",""
"AIR_51","PUBLISHED","2016","AMR","ARG","MLE","ENVCAUSE039","1 [0–4]","1.23645","0.04058","4.04810",""
"AIR_51","PUBLISHED","2016","AMR","ARG","MLE","ENVCAUSE114","0 [0–1]","0.26987","0.00906","0.91569",""
"AIR_51","PUBLISHED","2016","AMR","ARG","MLE","ENVCAUSE000","3 [0–11]","3.39057","0.11386","10.85645",""
"AIR_51","PUBLISHED","2016","AMR","ARG","MLE","ENVCAUSE118","1 [0–3]","0.70796","0.01596","2.98801",""
"AIR_51","PUBLISHED","2016","EUR","ARM","BTSX","ENVCAUSE114","1 [0–3]","0.74421","0.02593","3.10888",""
"AIR_51","PUBLISHED","2016","EUR","ARM","BTSX","ENVCAUSE113","3 [0–13]","3.22005","0.11195","13.33949",""
"AIR_51","PUBLISHED","2016","EUR","ARM","BTSX","ENVCAUSE039","0 [0–2]","0.37008","0.01258","1.53807",""
"AIR_51","PUBLISHED","2016","EUR","ARM","BTSX","ENVCAUSE068","1 [0–5]","1.24638","0.04371","5.03772",""
"AIR_51","PUBLISHED","2016","EUR","ARM","BTSX","ENVCAUSE118","1 [0–4]","1.04548","0.03692","4.47262",""
"AIR_51","PUBLISHED","2016","EUR","ARM","BTSX","ENVCAUSE000","7 [0–27]","6.62620","0.24215","26.69800",""
"AIR_51","PUBLISHED","2016","EUR","ARM","FMLE","ENVCAUSE068","1 [0–2]","0.56314","0.01941","2.26299",""
"AIR_51","PUBLISHED","2016","EUR","ARM","FMLE","ENVCAUSE113","3 [0–12]","2.99557","0.10037","12.05335",""
"AIR_51","PUBLISHED","2016","EUR","ARM","FMLE","ENVCAUSE039","0 [0–1]","0.35168","0.01196","1.44573",""
"AIR_51","PUBLISHED","2016","EUR","ARM","FMLE","ENVCAUSE114","1 [0–3]","0.79008","0.02637","3.24482",""
"AIR_51","PUBLISHED","2016","EUR","ARM","FMLE","ENVCAUSE000","6 [0–23]","5.76747","0.21452","23.39308",""
"AIR_51","PUBLISHED","2016","EUR","ARM","FMLE","ENVCAUSE118","1 [0–4]","1.06699","0.03718","4.40567",""
"AIR_51","PUBLISHED","2016","EUR","ARM","MLE","ENVCAUSE039","0 [0–2]","0.39081","0.01279","1.60880",""
"AIR_51","PUBLISHED","2016","EUR","ARM","MLE","ENVCAUSE114","1 [0–3]","0.69252","0.02376","2.81139",""
"AIR_51","PUBLISHED","2016","EUR","ARM","MLE","ENVCAUSE113","3 [0–14]","3.47297","0.12296","13.90043",""
"AIR_51","PUBLISHED","2016","EUR","ARM","MLE","ENVCAUSE068","2 [0–8]","2.01622","0.06915","8.30199",""
"AIR_51","PUBLISHED","2016","EUR","ARM","MLE","ENVCAUSE118","1 [0–5]","1.02124","0.02300","4.64384",""
"AIR_51","PUBLISHED","2016","EUR","ARM","MLE","ENVCAUSE000","8 [0–31]","7.59377","0.26986","30.69413",""
"AIR_51","PUBLISHED","2016","AMR","ATG","BTSX","ENVCAUSE113","0 [0–2]","0.48251","0.03205","1.57759",""
"AIR_51","PUBLISHED","2016","AMR","ATG","BTSX","ENVCAUSE068","0 [0–0]","0.05795","0.00395","0.17907",""
"AIR_51","PUBLISHED","2016","AMR","ATG","BTSX","ENVCAUSE039","1 [0–2]","0.50407","0.03573","1.60980",""
"AIR_51","PUBLISHED","2016","AMR","ATG","BTSX","ENVCAUSE114","0 [0–1]","0.27198","0.02029","0.83027",""
"AIR_51","PUBLISHED","2016","AMR","ATG","BTSX","ENVCAUSE118","0 [0–1]","0.18225","0.01159","0.60805",""
"AIR_51","PUBLISHED","2016","AMR","ATG","BTSX","ENVCAUSE000","1 [0–5]","1.49877","0.10245","4.87283",""
"AIR_51","PUBLISHED","2016","AMR","ATG","FMLE","ENVCAUSE039","0 [0–2]","0.47595","0.03181","1.51803",""
"AIR_51","PUBLISHED","2016","AMR","ATG","FMLE","ENVCAUSE114","0 [0–1]","0.32230","0.02374","1.03532",""
