"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_def_2_text_youth","PUBLISHED","AFR","NER","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","NGA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","RWA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","STP","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","SEN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","SYC","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","SLE","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","ZAF","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","SWZ","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","TGO","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","UGA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","TZA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","ZMB","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","ZWE","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","ATG","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","BRB","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","BLZ","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","BOL","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","BRA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","CUB","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","DMA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","DOM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","SLV","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","GRD","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","GTM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","GUY","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","HTI","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","JAM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","MEX","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","NIC","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","PAN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","PRY","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","KNA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","LCA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","VCT","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","SUR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","TTO","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","URY","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","VEN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","AFG","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","BHR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","EGY","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","JOR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","KWT","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","LBY","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","MAR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","OMN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","PAK","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","QAT","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","SAU","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","SOM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","SDN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","SYR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","TUN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","YEM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","ALB","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","BLR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","BIH","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","HRV","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","CYP","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","CZE","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","GEO","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","HUN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","KAZ","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","KGZ","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","LVA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","MNE","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","MDA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","ROU","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","SVK","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","SVN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","TJK","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","TUR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","UKR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","UZB","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","SEAR","BTN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","SEAR","IND","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","SEAR","MDV","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","SEAR","MMR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","SEAR","NPL","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","SEAR","LKA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","SEAR","TLS","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","BRN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","KHM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","COK","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","FJI","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","KIR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","LAO","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","MHL","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","FSM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","MNG","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","NRU","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","NIU","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","PLW","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","PNG","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","PHL","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","WSM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","TON","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","CHL","Current tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EMR","LBN","Current tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","GRC","Current tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","SRB","Current tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","SWE","Current tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","CHN","Current tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","AZE","Daily cigarette smoking","","","","Manufactured cigarettes only"
"M_def_2_text_youth","PUBLISHED","EUR","FIN","Daily cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","JPN","Daily cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","KOR","Daily cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AMR","CAN","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","ARM","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","AUT","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","BEL","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","DNK","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","EST","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","FRA","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","DEU","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","IRL","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","LTU","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","LUX","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","NLD","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","NOR","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","POL","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","RUS","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","CHE","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","EUR","MKD","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","AUS","Daily tobacco smoking","","","",""
"M_def_2_text_youth","PUBLISHED","WPR","NZL","Daily tobacco smoking","","","",""
