"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","DHSMICSGEOREGION","Display Value","Numeric","Low","High","Comments"
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200723","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200730","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2007","SEAR","IDN","IDNDHS200732","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201201","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201203","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201210","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201212","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201217","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201219","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201221","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201226","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2012","SEAR","IDN","IDNDHS201228","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200803","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200805","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200812","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200814","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200819","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2008","AFR","MDG","MDGDHS200821","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2006","EMR","PAK","PAKDHS200602","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199304","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199306","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1993","WPR","PHL","PHLDHS199313","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199801","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199808","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199810","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","1998","WPR","PHL","PHLDHS199815","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200302","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200304","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200309","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200311","No data","","","","Not available."
"overwgt3","EQ_DHS","PUBLISHED","2003","WPR","PHL","PHLDHS200313","No data","","","","Not available."
