"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","","WQ1","157.0","157.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","","WQ2","149.0","149.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","","WQ3","108.0","108.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","","WQ4","94.0","94.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1991","AFR","CMR","","WQ5","50.0","50.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","","","151.0","151.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","URB","","115.0","115.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","RUR","","164.0","164.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","","WQ1","153.0","153.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","","WQ2","103.0","103.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","","WQ3","86.0","86.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","","WQ4","103.0","103.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1998","AFR","CMR","","WQ5","86.0","86.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","","144.0","144.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","URB","","119.0","119.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","RUR","","162.0","162.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ1","156.0","156.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ2","125.0","125.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ3","113.0","113.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ4","96.0","96.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2004","AFR","CMR","","WQ5","69.0","69.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","122.0","122.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","URB","","90.0","90.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","RUR","","145.0","145.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ2","94.0","94.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ3","74.0","74.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ4","78.0","78.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2011","AFR","CMR","","WQ5","66.0","66.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","1994","AFR","CAF","","","158.0","158.00000","","",""
