"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_310_STD","FPBFA2014","PUBLISHED","2014","AFR","BFA","RUR","1.28","1.28000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBFA2014","PUBLISHED","2014","AFR","BFA","URB","1.01","1.01000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2000","PUBLISHED","2000","SEAR","BGD","TOTL","3.48","3.48000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2000","PUBLISHED","2000","SEAR","BGD","RUR","2.24","2.24000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2000","PUBLISHED","2000","SEAR","BGD","URB","3.80","3.80000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2005","PUBLISHED","2005","SEAR","BGD","TOTL","1.82","1.82000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2005","PUBLISHED","2005","SEAR","BGD","RUR","2.03","2.03000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2005","PUBLISHED","2005","SEAR","BGD","URB","1.19","1.19000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2010","PUBLISHED","2010","SEAR","BGD","TOTL","2.12","2.12000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2010","PUBLISHED","2010","SEAR","BGD","RUR","2.56","2.56000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2010","PUBLISHED","2010","SEAR","BGD","URB","0.87","0.87000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2016","PUBLISHED","2016","SEAR","BGD","TOTL","4.51","4.51000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2016","PUBLISHED","2016","SEAR","BGD","RUR","4.99","4.99000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGD2016","PUBLISHED","2016","SEAR","BGD","URB","3.24","3.24000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR1995","PUBLISHED","1995","EUR","BGR","TOTL","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR1995","PUBLISHED","1995","EUR","BGR","RUR","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR1995","PUBLISHED","1995","EUR","BGR","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR1997","PUBLISHED","1997","EUR","BGR","TOTL","0.13","0.13000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR1997","PUBLISHED","1997","EUR","BGR","RUR","0.17","0.17000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR1997","PUBLISHED","1997","EUR","BGR","URB","0.11","0.11000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2000","PUBLISHED","2000","EUR","BGR","TOTL","0.07","0.07000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2000","PUBLISHED","2000","EUR","BGR","RUR","0.06","0.06000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2000","PUBLISHED","2000","EUR","BGR","URB","0.06","0.06000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2001","PUBLISHED","2001","EUR","BGR","TOTL","0.15","0.15000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2001","PUBLISHED","2001","EUR","BGR","RUR","0.28","0.28000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2001","PUBLISHED","2001","EUR","BGR","URB","0.09","0.09000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2007","PUBLISHED","2007","EUR","BGR","TOTL","0.11","0.11000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2007","PUBLISHED","2007","EUR","BGR","RUR","0.14","0.14000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2007","PUBLISHED","2007","EUR","BGR","URB","0.10","0.10000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2010","PUBLISHED","2010","EUR","BGR","TOTL","0.04","0.04000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2010","PUBLISHED","2010","EUR","BGR","RUR","0.07","0.07000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBGR2010","PUBLISHED","2010","EUR","BGR","URB","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBHS2013","PUBLISHED","2013","AMR","BHS","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPBIH2001","PUBLISHED","2001","EUR","BIH","TOTL","0.14","0.14000","","",""
