"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTSTUNTINGPREV","PUBLISHED","2030","","","WB_UMI","","2.9 [1.5-5.5]","2.90000","1.50000","5.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","","","WB_HI","","2.5 [1.8-3.5]","2.50000","1.80000","3.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","","","WB_LMI","","22.6 [19.2-26.4]","22.60000","19.20000","26.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","","","WB_LIMI","","18.5 [16.5-20.6]","18.50000","16.50000","20.60000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","39.3 [37.6-41.0]","39.30000","37.60000","41.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","35.7 [34.0-37.3]","35.70000","34.00000","37.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","32.4 [30.9-34.0]","32.40000","30.90000","34.00000",""
"NUTSTUNTINGPREV","PUBLISHED","2005","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","29.2 [27.7-30.8]","29.20000","27.70000","30.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2010","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","26.0 [24.6-27.5]","26.00000","24.60000","27.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2012","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","24.8 [23.3-26.3]","24.80000","23.30000","26.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2015","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","23.1 [21.6-24.6]","23.10000","21.60000","24.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2019","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","21.3 [19.7-22.8]","21.30000","19.70000","22.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2020","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","20.8 [19.3-22.4]","20.80000","19.30000","22.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2025","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","19.0 [17.3-20.6]","19.00000","17.30000","20.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2030","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","17.2 [15.5-18.9]","17.20000","15.50000","18.90000",""
