"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ARCHIVE","Display Value","Numeric","Low","High","Comments"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","MNE","","4.9 [4.6-5.2]","4.90000","4.60000","5.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","MCO","","","","","","missing data"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","NLD","","9.4 [8.8-10]","9.40000","8.80000","10.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","OMN","","0.7 [0.7-0.7]","0.70000","0.70000","0.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","GBR","","10.4 [9.8-11.0]","10.40000","9.80000","11.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","USA","","8.7 [8.2-9.2]","8.70000","8.20000","9.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","PRT","","11.0 [10.3-11.7]","11.00000","10.30000","11.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","AFG","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","BEN","","1.1 [1.0-1.2]","1.10000","1.00000","1.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","GNB","","2.5 [2.3-2.7]","2.50000","2.30000","2.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","KEN","","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","SEN","","0.3 [0.3-0.3]","0.30000","0.30000","0.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","SOM","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","BTN","","0.4 [0.4-0.4]","0.40000","0.40000","0.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","CMR","","5.8 [5.4-6.2]","5.80000","5.40000","6.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","IND","","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","IRN","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","PRY","","7.3 [6.8-7.8]","7.30000","6.80000","7.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","MDA","","6.3 [5.9-6.7]","6.30000","5.90000","6.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","DZA","","0.7 [0.7-0.7]","0.70000","0.70000","0.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","BLR","","14.4 [13.5-15.3]","14.40000","13.50000","15.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","KAZ","","6.8 [6.4-7.2]","6.80000","6.40000","7.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","LBN","","1.9 [1.8-2.0]","1.90000","1.80000","2.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","VCT","","6.3 [5.9-6.7]","6.30000","5.90000","6.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","SYC","","4.1 [3.8-4.4]","4.10000","3.80000","4.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","BHR","","2.0 [1.9-2.1]","2.00000","1.90000","2.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","BEL","","10.5 [9.8-11.2]","10.50000","9.80000","11.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","ISL","","6.6 [6.2-7.0]","6.60000","6.20000","7.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","ISR","","2.5 [2.3-2.7]","2.50000","2.30000","2.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","SAU","","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","SVK","","11.4 [10.7-12.1]","11.40000","10.70000","12.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","DJI","","1.1 [1.0-1.2]","1.10000","1.00000","1.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","DNK","","10.4 [9.8-11.0]","10.40000","9.80000","11.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","BFA","","4.3 [4.0-4.6]","4.30000","4.00000","4.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","GMB","","2.4 [2.3-2.5]","2.40000","2.30000","2.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","LAO","","6.2 [5.8-6.6]","6.20000","5.80000","6.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","MMR","","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","UZB","","2.4 [2.3-2.5]","2.40000","2.30000","2.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","ARM","","3.8 [3.6-4.0]","3.80000","3.60000","4.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","CPV","","4.0 [3.8-4.2]","4.00000","3.80000","4.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","GUY","","7.1 [6.7-7.5]","7.10000","6.70000","7.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","KIR","","1.0 [0.9-1.1]","1.00000","0.90000","1.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","NIC","","3.5 [3.3-3.7]","3.50000","3.30000","3.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","LKA","","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","TUN","","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","BIH","","4.6 [4.3-4.9]","4.60000","4.30000","4.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","GAB","","8.9 [8.3-9.5]","8.90000","8.30000","9.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","LTU","","12.9 [12.1-13.7]","12.90000","12.10000","13.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","PER","","6.1 [5.7-6.5]","6.10000","5.70000","6.50000",""
