"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATERPIPED","PUBLISHED","1993","AFR","BFA","","","WQ4","77.5","0.77531","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","BFA","","","WQ4","85.8","0.85766","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","GAB","","","WQ4","98.9","0.98866","","",""
"EQ_WATERPIPED","PUBLISHED","1993","AFR","GHA","","","WQ4","91.4","0.91367","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","GHA","","","WQ4","93.5","0.93513","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","GIN","","","WQ4","88.8","0.88799","","",""
"EQ_WATERPIPED","PUBLISHED","2007","AFR","LBR","","","WQ4","21.9","0.21881","","",""
"EQ_WATERPIPED","PUBLISHED","1997","AFR","MDG","","","WQ4","83.5","0.83465","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","MDG","","","WQ4","92.2","0.92202","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","MDG","","","WQ4","85.7","0.85714","","",""
"EQ_WATERPIPED","PUBLISHED","1992","SEAR","IND","","","WQ5","89.5","0.89486","","",""
"EQ_WATERPIPED","PUBLISHED","1998","SEAR","IND","","","WQ5","88.6","0.88636","","",""
"EQ_WATERPIPED","PUBLISHED","2005","SEAR","IND","","","WQ5","81.6","0.81576","","",""
"EQ_WATERPIPED","PUBLISHED","1997","AFR","MOZ","","","WQ5","96.9","0.96887","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","MOZ","","","WQ5","93.5","0.93474","","",""
"EQ_WATERPIPED","PUBLISHED","2006","SEAR","NPL","","","WQ5","75.3","0.75328","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","SLE","","","WQ5","79.6","0.79648","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","SWZ","","","WQ5","97.4","0.97425","","",""
"EQ_WATERPIPED","PUBLISHED","2009","SEAR","TLS","","","WQ5","64.6","0.64613","","",""
"EQ_WATERPIPED","PUBLISHED","1991","AMR","PER","YEARS0-5","","","82.8","0.82783","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AMR","HTI","YEARS12+","","","87.4","0.87396","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AMR","HTI","YEARS12+","","","43.3","0.43333","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","MWI","YEARS12+","","","96.4","0.96357","","",""
"EQ_WATERPIPED","PUBLISHED","2004","AFR","MWI","YEARS12+","","","91.1","0.91141","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","MLI","YEARS12+","","","84.8","0.84773","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","RWA","YEARS12+","","","90.3","0.90297","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","SLE","YEARS12+","","","59.4","0.59370","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","ZAF","YEARS12+","","","98.9","0.98938","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","SWZ","YEARS12+","","","95.5","0.95456","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AMR","PER","YEARS0-5","","","80.6","0.80612","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AMR","PER","YEARS0-5","","","81.8","0.81833","","",""
"EQ_WATERPIPED","PUBLISHED","2004","AMR","PER","YEARS0-5","","","87.9","0.87936","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","UGA","YEARS0-5","","","44.4","0.44410","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","ZMB","YEARS0-5","","","72.1","0.72064","","",""
"EQ_WATERPIPED","PUBLISHED","2001","AFR","ZMB","YEARS0-5","","","70.3","0.70339","","",""
"EQ_WATERPIPED","PUBLISHED","2007","AFR","ZMB","YEARS0-5","","","66.5","0.66517","","",""
"EQ_WATERPIPED","PUBLISHED","2004","AFR","TCD","YEARS12+","","","57.4","0.57439","","",""
"EQ_WATERPIPED","PUBLISHED","1990","AMR","COL","YEARS12+","","","99.8","0.99764","","",""
"EQ_WATERPIPED","PUBLISHED","1995","AMR","COL","YEARS12+","","","99.1","0.99147","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AMR","COL","YEARS12+","","","99.5","0.99514","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","BEN","YEARS0-5","","","55.3","0.55258","","",""
"EQ_WATERPIPED","PUBLISHED","1994","AMR","BOL","YEARS0-5","","","81.7","0.81691","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AMR","BOL","YEARS0-5","","","87.9","0.87940","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AMR","BOL","YEARS0-5","","","84.9","0.84913","","",""
"EQ_WATERPIPED","PUBLISHED","2005","EMR","EGY","YEARS0-5","","","98.5","0.98526","","",""
"EQ_WATERPIPED","PUBLISHED","2008","EMR","EGY","YEARS0-5","","","98.6","0.98633","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","ETH","YEARS0-5","","","78.1","0.78058","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","ETH","YEARS0-5","","","85.1","0.85127","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","KEN","YEARS0-5","","","58.1","0.58092","","",""
"EQ_WATERPIPED","PUBLISHED","1997","EUR","KGZ","YEARS0-5","","","94.8","0.94848","","",""
