"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GROUP","Display Value","Numeric","Low","High","Comments"
"RSUD_87","PUBLISHED","2008","AFR","GHA","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GHA","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GRC","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GRC","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GRC","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","GRC","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AMR","GTM","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","GTM","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","GTM","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","GTM","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GIN","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GIN","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GIN","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","GIN","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","AMR","HND","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AMR","HND","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","HND","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","HND","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HUN","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HUN","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HUN","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","HUN","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ISL","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ISL","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ISL","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ISL","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IND","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IND","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IND","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IND","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IDN","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IDN","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IDN","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","SEAR","IDN","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRN","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRN","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRN","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRN","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRQ","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRQ","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRQ","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","IRQ","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","IRL","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","IRL","COCAINE_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","IRL","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","IRL","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ISR","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ISR","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ISR","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ITA","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ITA","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ITA","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","ITA","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","JAM","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","JAM","COCAINE_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","JAM","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AMR","JAM","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","JPN","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","WPR","JPN","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","JPN","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","WPR","JPN","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","JOR","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","EMR","JOR","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","JOR","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EMR","JOR","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","KGZ","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","KGZ","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","KGZ","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","KGZ","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","WPR","LAO","ALCOHOLICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","LAO","AL_ANON_ALATEEN","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","LAO","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","WPR","LAO","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","EUR","LVA","NARCOTICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","LVA","COCAINE_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","LVA","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","EUR","LVA","AL_ANON_ALATEEN","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","LSO","NARCOTICS_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","LSO","ALCOHOLICS_ANONYMOUS","yes","","","",""
"RSUD_87","PUBLISHED","2008","AFR","LSO","COCAINE_ANONYMOUS","no","","","",""
"RSUD_87","PUBLISHED","2008","AFR","LSO","AL_ANON_ALATEEN","no","","","",""
