"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_6","PUBLISHED","2012","EUR","EST","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","GUY","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","HND","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","SEAR","IND","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","LUX","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","LVA","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","MLI","","ENVCAUSE000","27","0.27000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","MUS","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","PER","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","BLZ","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","CAF","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","AUT","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","AZE","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","BHS","","ENVCAUSE000","11","0.11000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","ALB","","ENVCAUSE000","20","0.20000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","ATG","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","BGR","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","EGY","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","FRA","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","GMB","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","HUN","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","JOR","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","KOR","","ENVCAUSE000","14","0.14000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","LBY","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","MDG","","ENVCAUSE000","26","0.26000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","NAM","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","NER","","ENVCAUSE000","28","0.28000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","PRT","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","SUR","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","TTO","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","USA","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","VCT","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","AFG","","ENVCAUSE000","24","0.24000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","AUS","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","BWA","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","ECU","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","FJI","","ENVCAUSE000","17","0.17000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","GNQ","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","ISL","","ENVCAUSE000","12","0.12000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","ITA","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","KIR","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","MCO","","ENVCAUSE000","10","0.10000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","MDA","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","MOZ","","ENVCAUSE000","24","0.24000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","NZL","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","PAK","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","ARM","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","BOL","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","BRA","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","ETH","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","GBR","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","GHA","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","GIN","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","IRN","","ENVCAUSE000","20","0.20000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","KAZ","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","LAO","","ENVCAUSE000","31","0.31000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","MRT","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","YEM","","ENVCAUSE000","19","0.19000","","",""
"TOTENV_6","PUBLISHED","2012","WPR","CHN","","ENVCAUSE000","26","0.26000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","COD","","ENVCAUSE000","27","0.27000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","DOM","","ENVCAUSE000","18","0.18000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","GNB","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","HTI","","ENVCAUSE000","23","0.23000","","",""
"TOTENV_6","PUBLISHED","2012","EUR","ISR","","ENVCAUSE000","13","0.13000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","JAM","","ENVCAUSE000","16","0.16000","","",""
"TOTENV_6","PUBLISHED","2012","AFR","NGA","","ENVCAUSE000","25","0.25000","","",""
"TOTENV_6","PUBLISHED","2012","EMR","OMN","","ENVCAUSE000","15","0.15000","","",""
"TOTENV_6","PUBLISHED","2012","AMR","PAN","","ENVCAUSE000","15","0.15000","","",""
