"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PRICEMEASURETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","COG","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","HRV","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","HRV","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","CUB","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","CUB","SA_VOLUME_DISCOUNTS_BAN","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","CYP","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","DMA","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","DMA","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","DMA","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","DOM","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","ECU","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","ECU","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","EGY","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","EGY","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EMR","EGY","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GNQ","SA_MINIMUM_PRICE_POLICY","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GNQ","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GNQ","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","ETH","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","FIN","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","Yes","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","FIN","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","FIN","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","FRA","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GAB","SA_MINIMUM_PRICE_POLICY","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_BELOW_COST_SELLING_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_VOLUME_DISCOUNTS_BAN","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","EUR","GEO","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_ANY_PRICE_MEASURES_EXCLUDING_TAXATION","No","","","",""
"SA_0000001730_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_LOWER_PRICE_NON_ALCOHOLIC_BEVERAGES","No","","","",""
