"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"bmi30wm","EQ_MICS","PUBLISHED","2000","AFR","DZA","","","","DZAMICS200004","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200601","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200602","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200603","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2006","AFR","DZA","","","","DZAMICS200604","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201201","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201202","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201203","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201204","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201205","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201206","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","2012","AFR","DZA","","","","DZAMICS201207","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199602","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199603","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199604","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199605","","No data","","","","Not available."
"bmi30wm","EQ_MICS","PUBLISHED","1996","AFR","AGO","","","","AGOMICS199606","","No data","","","","Not available."
