"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_190","FPBFA1998","PUBLISHED","1998","AFR","BFA","TOTL","2.84","2.84000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA1998","PUBLISHED","1998","AFR","BFA","URB","2.97","2.97000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA1998","PUBLISHED","1998","AFR","BFA","RUR","2.82","2.82000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2003","PUBLISHED","2003","AFR","BFA","TOTL","2.29","2.29000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2003","PUBLISHED","2003","AFR","BFA","URB","2.36","2.36000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2003","PUBLISHED","2003","AFR","BFA","RUR","2.27","2.27000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2009","PUBLISHED","2009","AFR","BFA","TOTL","1.54","1.54000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2009","PUBLISHED","2009","AFR","BFA","URB","1.44","1.44000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2009","PUBLISHED","2009","AFR","BFA","RUR","1.58","1.58000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2014","PUBLISHED","2014","AFR","BFA","TOTL","2.12","2.12000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2014","PUBLISHED","2014","AFR","BFA","URB","0.98","0.98000","","",""
"FINPROTECTION_IMP_PG_190","FPBFA2014","PUBLISHED","2014","AFR","BFA","RUR","2.44","2.44000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2000","PUBLISHED","2000","SEAR","BGD","TOTL","5.67","5.67000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2000","PUBLISHED","2000","SEAR","BGD","URB","6.39","6.39000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2000","PUBLISHED","2000","SEAR","BGD","RUR","2.80","2.80000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2005","PUBLISHED","2005","SEAR","BGD","TOTL","1.12","1.12000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2005","PUBLISHED","2005","SEAR","BGD","URB","0.39","0.39000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2005","PUBLISHED","2005","SEAR","BGD","RUR","1.36","1.36000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2010","PUBLISHED","2010","SEAR","BGD","TOTL","1.55","1.55000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2010","PUBLISHED","2010","SEAR","BGD","URB","0.46","0.46000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2010","PUBLISHED","2010","SEAR","BGD","RUR","1.94","1.94000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2016","PUBLISHED","2016","SEAR","BGD","TOTL","5.12","5.12000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2016","PUBLISHED","2016","SEAR","BGD","URB","2.90","2.90000","","",""
"FINPROTECTION_IMP_PG_190","FPBGD2016","PUBLISHED","2016","SEAR","BGD","RUR","5.95","5.95000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR1995","PUBLISHED","1995","EUR","BGR","TOTL","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR1995","PUBLISHED","1995","EUR","BGR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR1995","PUBLISHED","1995","EUR","BGR","RUR","0.07","0.07000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR1997","PUBLISHED","1997","EUR","BGR","TOTL","0.05","0.05000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR1997","PUBLISHED","1997","EUR","BGR","URB","0.04","0.04000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR1997","PUBLISHED","1997","EUR","BGR","RUR","0.06","0.06000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2000","PUBLISHED","2000","EUR","BGR","TOTL","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2000","PUBLISHED","2000","EUR","BGR","URB","0.01","0.01000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2000","PUBLISHED","2000","EUR","BGR","RUR","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2001","PUBLISHED","2001","EUR","BGR","TOTL","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2001","PUBLISHED","2001","EUR","BGR","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2001","PUBLISHED","2001","EUR","BGR","RUR","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2007","PUBLISHED","2007","EUR","BGR","TOTL","0.06","0.06000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2007","PUBLISHED","2007","EUR","BGR","URB","0.05","0.05000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2007","PUBLISHED","2007","EUR","BGR","RUR","0.09","0.09000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2010","PUBLISHED","2010","EUR","BGR","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2010","PUBLISHED","2010","EUR","BGR","URB","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBGR2010","PUBLISHED","2010","EUR","BGR","RUR","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBHS2013","PUBLISHED","2013","AMR","BHS","TOTL","0.00","0.00000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2001","PUBLISHED","2001","EUR","BIH","TOTL","0.11","0.11000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2001","PUBLISHED","2001","EUR","BIH","URB","0.05","0.05000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2001","PUBLISHED","2001","EUR","BIH","RUR","0.15","0.15000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2004","PUBLISHED","2004","EUR","BIH","TOTL","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2004","PUBLISHED","2004","EUR","BIH","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2004","PUBLISHED","2004","EUR","BIH","RUR","0.04","0.04000","","",""
"FINPROTECTION_IMP_PG_190","FPBIH2007","PUBLISHED","2007","EUR","BIH","TOTL","0.00","0.00000","","",""
