"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001547","","PUBLISHED","2008","EUR","NLD","SA_SPIRITS","1504","1504.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","NLD","SA_WINE","83.56","83.56000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","NOR","SA_BEER","271.7","271.70000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","PRT","SA_BEER","16.9","16.90000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","PRT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ROU","SA_BEER","9","9.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","ROU","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","SRB","SA_SPIRITS","651","651.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","SVK","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","SVN","SA_SPIRITS","694.8","694.80000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ESP","SA_SPIRITS","830.3","830.30000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","ESP","SA_BEER","9.96","9.96000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","SWE","SA_WINE","211.8","211.80000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","CHE","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","CHE","SA_SPIRITS","2389","2389.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","GBR","SA_BEER","117.31","117.31000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","AUT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","EST","SA_WINE","80.64","80.64000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","FRA","SA_WINE","3.66","3.66000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","HUN","SA_SPIRITS","1021.6","1021.60000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","LTU","SA_BEER","11.8","11.80000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","LUX","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","NLD","SA_WINE","83.56","83.56000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","PRT","SA_SPIRITS","1001.4","1001.40000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","SVK","SA_SPIRITS","1080","1080.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","ESP","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","GBR","SA_BEER","107.2","107.20000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","AUT","SA_SPIRITS","1000","1000.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","BEL","SA_WINE","57.24","57.24000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","BGR","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","CYP","SA_BEER","6","6.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","DNK","SA_SPIRITS","2012.8","2012.80000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","EST","SA_WINE","97.37","97.37000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","DEU","SA_SPIRITS","1303","1303.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ISL","SA_BEER","2666","2666.00000","","",""
"SA_0000001547","","PUBLISHED","2015","EUR","LVA","SA_WINE","70","70.00000","","",""
"SA_0000001547","","PUBLISHED","2015","EUR","LTU","SA_SPIRITS","1320.67","1320.67000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","NOR","SA_BEER","271.7","271.70000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","PRT","SA_SPIRITS","1289.27","1289.27000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","SVN","SA_BEER","12.1","12.10000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","CHE","SA_SPIRITS","1833","1833.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","GBR","SA_SPIRITS","3554.36","3554.36000","","",""
