"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_104","NHA_AUS","PUBLISHED","1998","WPR","WB_HI","AUS","1070.39","1070.39000","","",""
"WHS7_104","NHA_AUS","PUBLISHED","2000","WPR","WB_HI","AUS","1166.99","1166.99365","","",""
"WHS7_104","","PUBLISHED","1995","EUR","WB_HI","AUT","2143.71","2143.71476","","",""
"WHS7_104","","PUBLISHED","1996","EUR","WB_HI","AUT","2094.07","2094.07167","","",""
"WHS7_104","","PUBLISHED","2012","EUR","WB_HI","AUT","3948.88","3948.88473","","",""
"WHS7_104","NHA_AZE","PUBLISHED","2007","EUR","WB_UMI","AZE","37.01","37.01201","","",""
"WHS7_104","NHA_AZE","PUBLISHED","2009","EUR","WB_UMI","AZE","66.04","66.03850","","",""
"WHS7_104","NHA_BDI","PUBLISHED","2004","AFR","WB_LI","BDI","3.04","3.04023","","",""
"WHS7_104","NHA_BDI","PUBLISHED","2006","AFR","WB_LI","BDI","5.47","5.46786","","",""
"WHS7_104","NHA_BDI","PUBLISHED","2007","AFR","WB_LI","BDI","6.02","6.02147","","",""
"WHS7_104","","PUBLISHED","2000","EUR","WB_HI","BEL","1376.72","1376.71510","","",""
"WHS7_104","","PUBLISHED","2001","EUR","WB_HI","BEL","1416.43","1416.42631","","",""
"WHS7_104","","PUBLISHED","2003","EUR","WB_HI","BEL","2082.29","2082.29463","","",""
"WHS7_104","","PUBLISHED","2004","EUR","WB_HI","BEL","2479.83","2479.82508","","",""
"WHS7_104","","PUBLISHED","1998","AFR","WB_LI","BEN","7.27","7.27470","","",""
"WHS7_104","","PUBLISHED","1995","AFR","WB_LI","BFA","4.40","4.40115","","",""
"WHS7_104","","PUBLISHED","1996","AFR","WB_LI","BFA","4.82","4.82300","","",""
"WHS7_104","","PUBLISHED","2010","AFR","WB_LI","BFA","22.81","22.81276","","",""
"WHS7_104","","PUBLISHED","2012","AFR","WB_LI","BFA","20.06","20.05868","","",""
"WHS7_104","NHA_BGD","PUBLISHED","2007","SEAR","WB_LMI","BGD","5.38","5.37835","","",""
"WHS7_104","NHA_BGD","PUBLISHED","2009","SEAR","WB_LMI","BGD","6.75","6.75207","","",""
"WHS7_104","NHA_BGD","PUBLISHED","2010","SEAR","WB_LMI","BGD","7.93","7.93138","","",""
"WHS7_104","","PUBLISHED","2004","EUR","WB_UMI","BGR","145.49","145.49341","","",""
"WHS7_104","","PUBLISHED","2006","EUR","WB_UMI","BGR","171.08","171.08225","","",""
"WHS7_104","","PUBLISHED","2007","EUR","WB_UMI","BGR","220.85","220.85321","","",""
"WHS7_104","NHA_BHR","PUBLISHED","2001","EMR","WB_HI","BHR","327.18","327.18195","","",""
"WHS7_104","NHA_BHR","PUBLISHED","2004","EMR","WB_HI","BHR","369.09","369.09011","","",""
"WHS7_104","","PUBLISHED","1998","AMR","WB_HI","BHS","468.72","468.71617","","",""
"WHS7_104","","PUBLISHED","2001","AMR","WB_HI","BHS","530.32","530.31623","","",""
"WHS7_104","","PUBLISHED","1995","EUR","WB_UMI","BIH","17.27","17.27359","","",""
"WHS7_104","","PUBLISHED","1996","EUR","WB_UMI","BIH","34.55","34.55006","","",""
"WHS7_104","","PUBLISHED","2012","EUR","WB_UMI","BIH","318.23","318.22734","","",""
"WHS7_104","","PUBLISHED","2013","EUR","WB_UMI","BIH","314.79","314.79369","","",""
"WHS7_104","","PUBLISHED","2007","EUR","WB_UMI","BLR","210.89","210.88752","","",""
"WHS7_104","","PUBLISHED","2009","EUR","WB_UMI","BLR","200.56","200.55602","","",""
"WHS7_104","","PUBLISHED","2010","EUR","WB_UMI","BLR","250.57","250.56839","","",""
