"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_LMI","BOL","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","CHN","SA_BEER","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","TLS","SA_WINE","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","GRD","SA_SPIRITS","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","DZA","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","BIH","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","BRA","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","CRI","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","GAB","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","LTU","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","MUS","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_UMI","NAM","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_UMI","POL","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_UMI","KNA","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_UMI","LBN","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","PRT","SA_WINE","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SMR","SA_BEER","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CHE","SA_WINE","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CYP","SA_BEER","17","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","MLT","SA_SPIRITS","17","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CZE","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","DNK","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","EST","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","NOR","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SVK","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_HI","BHR","SA_WINE","","","","","missing data"
