"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_SOUTHERNAFR","3.7 [2.5-5.2]","3.70000","2.50000","5.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_LLDC","6.4 [4.9-8.3]","6.40000","4.90000","8.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_SOUTHAMR","1.4 [0.9-2.4]","1.40000","0.90000","2.40000","Consecutive Low Population Coverage"
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_NORTHAFR","6.8 [3.7-12.1]","6.80000","3.70000","12.10000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_MIDDLEAFR","7.1 [5.5-9.2]","7.10000","5.50000","9.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_CENTRALASIASOUTHERNASIA","14.3 [10.3-18.3]","14.30000","10.30000","18.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_WESTERNASIA","3.9 [1.7-8.7]","3.90000","1.70000","8.70000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_WESTERNASIANORTHERNAFR","5.4 [2.8-8]","5.40000","2.80000","8.00000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_SUBSAHARANAFRICA","6.8 [5.9-7.6]","6.80000","5.90000","7.60000",""
"NUTWASTINGPREV","PUBLISHED","2015","GLOBAL","1","WB_WORLD_INCOME","UNSDG_WORLD","7.2 [6.1-8.4]","7.20000","6.10000","8.40000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_CENTRALASIA","3 [2.2-4]","3.00000","2.20000","4.00000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_SOUTHEASTERNASIA","8.5 [6.3-11.2]","8.50000","6.30000","11.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_EASTERNAFR","5.7 [4.2-7.7]","5.70000","4.20000","7.70000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_CARIBBEAN","3 [2.2-4.3]","3.00000","2.20000","4.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","4.4 [3.5-5.3]","4.40000","3.50000","5.30000","excluding Japan"
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_SOUTHASIA","14.8 [11.1-19.5]","14.80000","11.10000","19.50000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_LDC","11.3 [7.2-17.3]","11.30000","7.20000","17.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","","","UNSDG_WESTERNAFR","8.1 [7.1-9.3]","8.10000","7.10000","9.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","14","","","5.7 [4.2-7.7]","5.70000","4.20000","7.70000",""
"NUTWASTINGPREV","PUBLISHED","2015","","145","","","3.9 [1.7-8.7]","3.90000","1.70000","8.70000",""
"NUTWASTINGPREV","PUBLISHED","2015","","143","","","3 [2.2-4]","3.00000","2.20000","4.00000",""
"NUTWASTINGPREV","PUBLISHED","2015","","30","","","1.9 [1.8-2]","1.90000","1.80000","2.00000","excluding Japan"
"NUTWASTINGPREV","PUBLISHED","2015","","11","","","8.1 [7.1-9.3]","8.10000","7.10000","9.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","142","","","9.4 [7.3-11.5]","9.40000","7.30000","11.50000","excluding Japan"
"NUTWASTINGPREV","PUBLISHED","2015","","29","","","3 [2.2-4.3]","3.00000","2.20000","4.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","35","","","8.5 [6.3-11.2]","8.50000","6.30000","11.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","419","","","1.4 [1-1.9]","1.40000","1.00000","1.90000",""
"NUTWASTINGPREV","PUBLISHED","2015","","2","","","6.8 [5.8-7.7]","6.80000","5.80000","7.70000",""
"NUTWASTINGPREV","PUBLISHED","2015","","18","","","3.7 [2.5-5.2]","3.70000","2.50000","5.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","21","","","0.4","0.40000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTWASTINGPREV","PUBLISHED","2015","","5","","","1.4 [0.9-2.4]","1.40000","0.90000","2.40000","Consecutive Low Population Coverage"
"NUTWASTINGPREV","PUBLISHED","2015","","13","","","1 [0.9-1.2]","1.00000","0.90000","1.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","197","","","7.9 [6.6-9.2]","7.90000","6.60000","9.20000","Only Less Developed Regions are displayed, while the aggregates of the More Developed Regions are not displayed due to insufficient population coverage"
"NUTWASTINGPREV","PUBLISHED","2015","","17","","","7.1 [5.5-9.2]","7.10000","5.50000","9.20000",""
"NUTWASTINGPREV","PUBLISHED","2015","","34","","","14.8 [11.1-19.5]","14.80000","11.10000","19.50000",""
"NUTWASTINGPREV","PUBLISHED","2015","","198","","","11.3 [7.2-17.3]","11.30000","7.20000","17.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","","15","","","6.8 [3.7-12.1]","6.80000","3.70000","12.10000",""
"NUTWASTINGPREV","PUBLISHED","2015","","543","","","8.9 [5.9-13.1]","8.90000","5.90000","13.10000",""
"NUTWASTINGPREV","PUBLISHED","2015","","64","","","14.3 [10.3-18.3]","14.30000","10.30000","18.30000",""
"NUTWASTINGPREV","PUBLISHED","2015","AFR","","","","6.9 [5.6-8.4]","6.90000","5.60000","8.40000",""
